symbol,date,open,high,low,close,volume,change,changePercent,vwap
"AI.PA","2025-11-26","164.96","165.2","163.5","165","496830","0.04","0.0242483","164.67",
"AI.PA","2025-11-25","163.8","165.42","162.86","164.42","672298","0.62","0.37851","164.13",
"AI.PA","2025-11-24","165.94","166.92","161.82","164.42","2237537","-1.52","-0.91599","164.78",
"AI.PA","2025-11-21","165.66","166.96","165.22","165.94","665601","0.28","0.16902","165.95",
"AI.PA","2025-11-20","166.62","166.68","165.12","165.7","504373","-0.92","-0.55215","166.03",
"AI.PA","2025-11-19","165.88","166.28","165.12","165.5","667328","-0.38","-0.22908","165.69",
"AI.PA","2025-11-18","168.54","168.54","165.76","165.94","710739","-2.6","-1.54","167.19",
"AI.PA","2025-11-17","170.66","170.82","169.48","169.6","485281","-1.06","-0.62112","170.14",
"AI.PA","2025-11-14","172.62","173.34","170.48","171.08","552967","-1.54","-0.89213","171.88",
"AI.PA","2025-11-13","173","174.28","172.82","173.2","554863","0.2","0.11561","173.33",
"AI.PA","2025-11-12","172.12","173.5","171.16","172.3","510176","0.18","0.10458","172.27",
"AI.PA","2025-11-11","170.4","172.6","169.08","171.6","355476","1.2","0.70423","170.92",
"AI.PA","2025-11-10","170","170.3","168.96","169.74","511988","-0.26","-0.15294","169.75",
"AI.PA","2025-11-07","168.26","169.32","166.54","169.32","522013","1.06","0.62998","168.36",
"AI.PA","2025-11-06","168.56","169.1","167.76","168.2","560147","-0.36","-0.21357","168.4",
"AI.PA","2025-11-05","168.4","169.86","167.98","168.9","529487","0.5","0.29691","168.78",
"AI.PA","2025-11-04","167.2","168.96","166.06","168.9","538275","1.7","1.02","167.78",
"AI.PA","2025-11-03","167.52","168.94","167.02","167.76","590541","0.24","0.14327","167.81",
"AI.PA","2025-10-31","171","171.12","167","167.92","883351","-3.08","-1.8","169.26",
"AI.PA","2025-10-30","169.24","170.8","169.1","170.54","461456","1.3","0.76814","169.92",
"AI.PA","2025-10-29","174.22","174.24","169.62","169.62","569085","-4.6","-2.64","171.92",
"AI.PA","2025-10-28","173","175.74","172.32","173.86","798835","0.86","0.49711","173.73",
"AI.PA","2025-10-27","171.94","172.74","171.1","172.36","510025","0.42","0.24427","172.04",
"AI.PA","2025-10-24","173.64","173.7","171.46","172.5","412586","-1.14","-0.65653","172.83",
"AI.PA","2025-10-23","171.76","173.94","171.34","172.88","409130","1.12","0.65207","172.48",
"AI.PA","2025-10-22","172.84","172.96","170.84","172.4","658073","-0.44","-0.25457","172.26",
"AI.PA","2025-10-21","173.88","173.88","172.48","173.04","603324","-0.84","-0.48309","173.32",
