symbol,date,open,high,low,close,volume,change,changePercent,vwap
"AIR.PA","2025-11-26","203.85","204.85","202.35","204.85","680047","1","0.49056","203.975",
"AIR.PA","2025-11-25","200.45","203.3","199.76","201.75","667083","1.3","0.64854","201.315",
"AIR.PA","2025-11-24","203.25","204.15","199.7","200.05","1504691","-3.2","-1.57","201.7875",
"AIR.PA","2025-11-21","200.9","205.35","200.3","202.75","1274171","1.85","0.92086","202.325",
"AIR.PA","2025-11-20","204.4","207.45","204.3","204.4","879198","0","0","205.1375",
"AIR.PA","2025-11-19","204","204.35","201.95","203.25","1108938","-0.75","-0.36765","203.3875",
"AIR.PA","2025-11-18","203.8","206.8","202.4","204.15","914627","0.35","0.17174","204.2875",
"AIR.PA","2025-11-17","207.7","210.35","206.7","207.3","695011","-0.4","-0.19259","208.0125",
"AIR.PA","2025-11-14","207.6","207.85","202.5","206.5","971118","-1.1","-0.52987","206.1125",
"AIR.PA","2025-11-13","212.1","213.35","208.7","210.25","874682","-1.85","-0.87223","211.1",
"AIR.PA","2025-11-12","212.05","213.4","211.45","212","778836","-0.05","-0.02357934","212.225",
"AIR.PA","2025-11-11","211.4","212.45","209.25","211","545152","-0.4","-0.18921","211.025",
"AIR.PA","2025-11-10","211.4","212.35","210.3","211.1","587605","-0.3","-0.14191","211.2875",
"AIR.PA","2025-11-07","208.15","208.95","206.1","208.05","804316","-0.1","-0.04804228","207.8125",
"AIR.PA","2025-11-06","211.8","211.85","207.35","208.65","731286","-3.15","-1.49","209.9125",
"AIR.PA","2025-11-05","211.4","212.85","209.95","212.35","620877","0.95","0.44939","211.6375",
"AIR.PA","2025-11-04","211.3","213.75","209.8","212.85","621290","1.55","0.73355","211.925",
"AIR.PA","2025-11-03","213.4","214.55","212.55","214.15","661908","0.75","0.35145","213.6625",
"AIR.PA","2025-10-31","213.15","214.6","211.6","213.4","836050","0.25","0.11729","213.1875",
"AIR.PA","2025-10-30","211.75","216.95","210.9","212.7","1347037","0.95","0.44864","213.075",
"AIR.PA","2025-10-29","207.05","208.7","205.7","208.4","783459","1.35","0.65202","207.4625",
"AIR.PA","2025-10-28","208.05","208.85","206.75","207.75","607962","-0.3","-0.1442","207.85",
"AIR.PA","2025-10-27","209.35","209.35","206.95","208.6","527816","-0.75","-0.35825","208.5625",
"AIR.PA","2025-10-24","208.7","208.7","205.75","208.45","543861","-0.25","-0.11979","207.9",
"AIR.PA","2025-10-23","206.4","208.3","205.7","207.25","631819","0.85","0.41182","206.9125",
"AIR.PA","2025-10-22","208.3","210.2","205.75","205.8","760823","-2.5","-1.2","207.5125",
"AIR.PA","2025-10-21","204.4","208.6","203.25","207.35","793810","2.95","1.44","205.9",
"AIR.PA","2025-10-20","203.5","204.25","201.65","203.7","957314","0.2","0.0982801","203.275",
"AIR.PA","2025-10-17","200.95","204.55","199.18","200.4","1084645","-0.55","-0.2737","201.27",
"AIR.PA","2025-10-16","204.25","205.9","201.45","205.45","631894","1.2","0.58752","204.2625",
"AIR.PA","2025-10-15","204.85","206.95","203","203","878248","-1.85","-0.9031","204.45",
"AIR.PA","2025-10-14","201","203.3","198.16","203.3","792922","2.3","1.14","201.44",
"AIR.PA","2025-10-13","203.5","203.5","201.3","202.35","513624","-1.15","-0.56511","202.6625",
"AIR.PA","2025-10-10","204.8","205.5","201.15","202","841713","-2.8","-1.37","203.3625",
"AIR.PA","2025-10-09","205.9","206.7","204.65","204.65","659422","-1.25","-0.60709","205.475",
"AIR.PA","2025-10-08","203.85","205.6","202.45","205.3","740972","1.45","0.71131","204.3",
"AIR.PA","2025-10-07","200.95","203.7","200.05","202.45","576393","1.5","0.74645","201.7875",
"AIR.PA","2025-10-06","200.55","202.85","200.1","201.1","1016212","0.55","0.27425","201.15",
"AIR.PA","2025-10-03","202.75","204.65","202.55","203.55","809976","0.8","0.39457","203.375",
"AIR.PA","2025-10-02","200","202.9","199.64","202.05","926298","2.05","1.03","201.1475",
"AIR.PA","2025-10-01","197.16","199.72","195.36","199.08","961217","1.92","0.97383","197.83",
"AIR.PA","2025-09-30","195.3","197.4","194.36","197.4","770902","2.1","1.08","196.115",
"AIR.PA","2025-09-29","197","197.64","195.16","195.78","705270","-1.22","-0.61929","196.395",
"AIR.PA","2025-09-26","195.12","195.9","193.08","195.72","869404","0.6","0.3075","194.955",
"AIR.PA","2025-09-25","193","194.08","191.92","193.86","721934","0.86","0.4456","193.215",
"AIR.PA","2025-09-24","195.08","195.92","193.42","193.82","1080557","-1.26","-0.64589","194.56",
"AIR.PA","2025-09-23","196.02","196.42","194.26","194.26","857491","-1.76","-0.89787","195.24",
"AIR.PA","2025-09-22","193.64","195.92","193.34","195.14","959442","1.5","0.77463","194.51",
"AIR.PA","2025-09-19","194.18","195.02","193.28","193.86","1688340","-0.32","-0.1648","194.085",
"AIR.PA","2025-09-18","193.12","194.18","191.02","191.7","1230868","-1.42","-0.73529","192.505",
"AIR.PA","2025-09-17","193.16","193.72","190.84","191.7","925207","-1.46","-0.75585","192.355",
"AIR.PA","2025-09-16","196.24","196.96","192.74","192.92","1422665","-3.32","-1.69","194.715",
"AIR.PA","2025-09-15","193.5","198.34","193.12","196.3","1245367","2.8","1.45","195.315",
"AIR.PA","2025-09-12","193.3","194.3","192.12","193.22","1025028","-0.08","-0.04138645","193.235",
"AIR.PA","2025-09-11","189.24","195.24","189.1","194","1313007","4.76","2.52","191.895",
"AIR.PA","2025-09-10","189.52","190.7","188.28","188.56","982728","-0.96","-0.50654","189.265",
"AIR.PA","2025-09-09","187.02","188","184.34","187.54","1029624","0.52","0.27805","186.725",
"AIR.PA","2025-09-08","185.28","187.94","185.18","187.82","903598","2.54","1.37","186.555",
"AIR.PA","2025-09-05","187.1","187.4","182.66","183.84","705348","-3.26","-1.74","185.25",
"AIR.PA","2025-09-04","186.7","187.48","185.38","186.86","842386","0.16","0.08569898","186.605",
"AIR.PA","2025-09-03","180.48","185.06","180.08","184.7","998568","4.22","2.34","182.58",
"AIR.PA","2025-09-02","181.7","182.18","178.86","179.16","837110","-2.54","-1.4","180.475",
"AIR.PA","2025-09-01","179.5","182.74","179.36","182","532866","2.5","1.39","180.9",
"AIR.PA","2025-08-29","177.78","180.7","177.38","179.06","773553","1.28","0.71999","178.73",
"AIR.PA","2025-08-28","179.3","180.38","177.78","178.62","730732","-0.68","-0.37925","179.02",
"AIR.PA","2025-08-27","180.08","180.72","178.1","178.26","619765","-1.82","-1.01","179.29",
"AIR.PA","2025-08-26","178.9","180.16","176","179.88","1077085","0.98","0.54779","178.735",
"AIR.PA","2025-08-25","179.6","182.1","179.46","180.54","432626","0.94","0.52339","180.425",
"AIR.PA","2025-08-22","180","181.67","179.86","180.72","568267","0.72","0.4","180.5625",
"AIR.PA","2025-08-21","179.32","181.02","179.2","180.92","565015","1.6","0.89226","180.115",
"AIR.PA","2025-08-20","183.18","183.64","178.9","179.14","847025","-4.04","-2.21","181.215",
"AIR.PA","2025-08-19","184.88","185.2","182","183.84","610186","-1.04","-0.56253","183.98",
"AIR.PA","2025-08-18","186.5","186.88","183.48","184.22","659544","-2.28","-1.22","185.27",
"AIR.PA","2025-08-15","184.72","186.88","183.48","186.88","1439959","2.16","1.17","185.49",
"AIR.PA","2025-08-14","180.72","183.92","180.34","183.78","784744","3.06","1.69","182.19",
"AIR.PA","2025-08-13","181.9","182.86","179.56","179.56","885098","-2.34","-1.29","180.97",
"AIR.PA","2025-08-12","176.3","180.86","176.02","180.86","941436","4.56","2.59","178.51",
"AIR.PA","2025-08-11","176.64","176.8","174.76","175.8","462907","-0.84","-0.47554","176",
"AIR.PA","2025-08-08","178.5","178.7","176.22","176.22","588200","-2.28","-1.28","177.41",
"AIR.PA","2025-08-07","178.84","179.24","177.28","177.4","765854","-1.44","-0.80519","178.19",
"AIR.PA","2025-08-06","177.08","178.14","175.34","177.9","1145613","0.82","0.46307","177.115",
"AIR.PA","2025-08-05","173.56","176.3","173.02","175.2","1191315","1.64","0.94492","174.52",
"AIR.PA","2025-08-04","170.44","172.36","170","172.32","871117","1.88","1.1","171.28",
"AIR.PA","2025-08-01","175.02","175.02","167.36","169.1","1374585","-5.92","-3.38","171.625",
"AIR.PA","2025-07-31","178.24","180.72","175.66","176.04","1648859","-2.2","-1.23","177.665",
"AIR.PA","2025-07-30","181","181","178.22","178.86","742709","-2.14","-1.18","179.77",
"AIR.PA","2025-07-29","178","182.36","177.84","179.44","1099699","1.44","0.80899","179.41",
"AIR.PA","2025-07-28","183.06","183.1","177.52","177.64","1098907","-5.42","-2.96","180.33",
"AIR.PA","2025-07-25","180.8","181.44","179.5","180.2","897971","-0.6","-0.33186","180.485",
"AIR.PA","2025-07-24","186.5","186.9","181.68","182.6","760056","-3.9","-2.09","184.42",
"AIR.PA","2025-07-23","184.74","184.86","182.58","183.38","874034","-1.36","-0.73617","183.89",
"AIR.PA","2025-07-22","185.22","185.74","179.6","181.32","863156","-3.9","-2.11","182.97",
"AIR.PA","2025-07-21","186.2","186.34","183.02","186.02","678003","-0.18","-0.09667025","185.395",
"AIR.PA","2025-07-18","185.16","187","185.12","186.22","1020058","1.06","0.57248","185.875",
