symbol,date,open,high,low,close,volume,change,changePercent,vwap
"ALV.DE","2025-11-26","366.9","373.4","366.9","373.4","450957","6.5","1.77","370.15",
"ALV.DE","2025-11-25","362.7","368.4","360.9","367","390451","4.3","1.19","364.75",
"ALV.DE","2025-11-24","364.6","365.4","359.6","362.9","813326","-1.7","-0.46626","363.125",
"ALV.DE","2025-11-21","360.6","366","359.8","363.1","615631","2.5","0.69329","362.375",
"ALV.DE","2025-11-20","360","365.2","359.5","362.7","443092","2.7","0.75","361.85",
"ALV.DE","2025-11-19","360","362.5","356.9","359.3","440634","-0.7","-0.19444","359.675",
"ALV.DE","2025-11-18","357.5","359.7","356","359.6","462012","2.1","0.58741","358.2",
"ALV.DE","2025-11-17","365.4","366.9","361.6","362.2","554628","-3.2","-0.87575","364.025",
"ALV.DE","2025-11-14","371.1","373.7","365.7","367.6","882792","-3.5","-0.94314","369.525",
"ALV.DE","2025-11-13","363.2","365.5","360.5","363.4","539126","0.2","0.05506608","363.15",
"ALV.DE","2025-11-12","360","362.7","359.3","361","474685","1","0.27778","360.75",
"ALV.DE","2025-11-11","357","359","355","359","380099","2","0.56022","357.5",
"ALV.DE","2025-11-10","354.8","356.9","352.4","356.8","412518","2","0.5637","355.225",
"ALV.DE","2025-11-07","353.7","354.1","348.4","352","443572","-1.7","-0.48063","352.05",
"ALV.DE","2025-11-06","356","356","352.1","353.3","382256","-2.7","-0.75843","354.35",
"ALV.DE","2025-11-05","353","356.3","351.2","356.3","346132","3.3","0.93484","354.2",
"ALV.DE","2025-11-04","348.3","353.8","346.2","353.8","418751","5.5","1.58","350.525",
"ALV.DE","2025-11-03","352.9","355.2","351.1","353","414623","0.1","0.02833664","353.05",
"ALV.DE","2025-10-31","354.8","355.2","347","348.2","642581","-6.6","-1.86","351.3",
"ALV.DE","2025-10-30","356.6","356.6","351.7","356.1","352385","-0.5","-0.14021","355.25",
"ALV.DE","2025-10-29","355","356.7","353.3","354.3","306470","-0.7","-0.19718","354.825",
"ALV.DE","2025-10-28","357.1","358.2","355.1","357.4","358568","0.3","0.08401008","356.95",
"ALV.DE","2025-10-27","353.7","356.8","352.6","356.3","347364","2.6","0.73509","354.85",
"ALV.DE","2025-10-24","350.9","352.8","348.5","352.8","389437","1.9","0.54146","351.25",
"ALV.DE","2025-10-23","350.4","352.4","349.5","350.2","294925","-0.2","-0.05707763","350.625",
"ALV.DE","2025-10-22","354.2","354.3","350.1","351.7","341741","-2.5","-0.70582","352.575",
"ALV.DE","2025-10-21","353.3","356","352.5","352.7","465080","-0.6","-0.16983","353.625",
"ALV.DE","2025-10-20","350.4","352.8","349.4","351.1","690424","0.7","0.19977","350.925",
"ALV.DE","2025-10-17","356.3","357","347.8","347.8","1406350","-8.5","-2.39","352.225",
"ALV.DE","2025-10-16","365.6","367.2","361.2","364","493351","-1.6","-0.43764","364.5",
"ALV.DE","2025-10-15","370","372.4","366.1","366.1","461366","-3.9","-1.05","368.65",
"ALV.DE","2025-10-14","367.1","371.2","366.7","369.7","399806","2.6","0.70825","368.675",
"ALV.DE","2025-10-13","370.5","371.5","367.1","368.6","363579","-1.9","-0.51282","369.425",
"ALV.DE","2025-10-10","369.8","372.1","367.4","367.4","482520","-2.4","-0.649","369.175",
"ALV.DE","2025-10-09","371.5","374.1","369","369","538498","-2.5","-0.67295","370.9",
"ALV.DE","2025-10-08","364.6","372.6","364.3","371.1","585716","6.5","1.78","368.15",
"ALV.DE","2025-10-07","363.4","364.3","361.5","364.3","333247","0.9","0.24766","363.375",
"ALV.DE","2025-10-06","362.2","365.2","360.4","363","339498","0.8","0.22087","362.7",
"ALV.DE","2025-10-03","363.8","364.5","359.5","361.5","419400","-2.3","-0.63222","362.325",
"ALV.DE","2025-10-02","364.7","366.9","362","362.3","405784","-2.4","-0.65808","363.975",
"ALV.DE","2025-10-01","355","364.9","354.6","363.3","610325","8.3","2.34","359.45",
"ALV.DE","2025-09-30","358.1","358.1","354.3","357.4","415010","-0.7","-0.19548","356.975",
"ALV.DE","2025-09-29","359.2","359.5","355.5","356.4","305348","-2.8","-0.77951","357.65",
"ALV.DE","2025-09-26","352.6","358.8","352.3","358.1","676522","5.5","1.56","355.45",
"ALV.DE","2025-09-25","345.6","350.8","345.1","349.3","408063","3.7","1.07","347.7",
"ALV.DE","2025-09-24","347","347.6","345.7","346","362950","-1","-0.28818","346.575",
"ALV.DE","2025-09-23","349.9","350.1","347.1","348.2","335118","-1.7","-0.48585","348.825",
"ALV.DE","2025-09-22","346.4","347.9","345.6","347.8","369657","1.4","0.40416","346.925",
"ALV.DE","2025-09-19","347.8","349.6","346.1","347.5","1407312","-0.3","-0.08625647","347.75",
"ALV.DE","2025-09-18","345.7","347.9","344.9","347.2","398350","1.5","0.4339","346.425",
"ALV.DE","2025-09-17","347.1","348.1","343.2","344.5","644467","-2.6","-0.74906","345.725",
"ALV.DE","2025-09-16","354","355","346.6","346.6","654647","-7.4","-2.09","350.55",
"ALV.DE","2025-09-15","356.3","358.2","355","355.5","318947","-0.8","-0.22453","356.25",
"ALV.DE","2025-09-12","353","354.7","351.9","354.5","340287","1.5","0.42493","353.525",
"ALV.DE","2025-09-11","351.1","354.5","351.1","352.4","297549","1.3","0.37026","352.275",
"ALV.DE","2025-09-10","352.6","353.6","350.4","351.7","348472","-0.9","-0.25525","352.075",
