symbol,date,open,high,low,close,volume,change,changePercent,vwap
"ASML.AS","2025-11-26","875","909.3","874.4","909.3","684564","34.3","3.92","892",
"ASML.AS","2025-11-25","868","874.7","841.6","860.3","511733","-7.7","-0.8871","861.15",
"ASML.AS","2025-11-24","844","863.6","837.1","858.8","1336682","14.8","1.75","850.875",
"ASML.AS","2025-11-21","839.2","859.3","822.2","834","976903","-5.2","-0.61964","838.675",
"ASML.AS","2025-11-20","908.8","914.7","889.8","889.8","673609","-19","-2.09","900.775",
"ASML.AS","2025-11-19","861.1","895.2","857.3","886.6","569198","25.5","2.96","875.05",
"ASML.AS","2025-11-18","872","877.5","857.1","865.6","593874","-6.4","-0.73394","868.05",
"ASML.AS","2025-11-17","879.3","883.9","864.3","876.4","471563","-2.9","-0.32981","875.975",
"ASML.AS","2025-11-14","866.9","876.8","841.3","874.1","667623","7.2","0.83055","864.775",
"ASML.AS","2025-11-13","900.2","911.8","874.7","881.5","581571","-18.7","-2.08","892.05",
"ASML.AS","2025-11-12","888.1","900","885","891.8","559670","3.7","0.41662","891.225",
"ASML.AS","2025-11-11","890","907.5","881.7","886.9","416396","-3.1","-0.34831","891.525",
"ASML.AS","2025-11-10","891","899.3","883.9","886.7","451225","-4.3","-0.4826","890.225",
"ASML.AS","2025-11-07","899","900.9","870.8","870.8","767828","-28.2","-3.14","885.375",
"ASML.AS","2025-11-06","901.1","912.6","891.2","895.3","481131","-5.8","-0.64366","900.05",
"ASML.AS","2025-11-05","882.9","913.3","878.4","906.6","663558","23.7","2.68","895.3",
"ASML.AS","2025-11-04","909.2","926.1","903.4","918","512236","8.8","0.96788","914.175",
"ASML.AS","2025-11-03","917","930.9","915.4","926.5","424633","9.5","1.04","922.45",
"ASML.AS","2025-10-31","930","934.5","914.2","918.1","560900","-11.9","-1.28","924.2",
"ASML.AS","2025-10-30","925","938.6","923.6","937.5","626353","12.5","1.35","931.175",
"ASML.AS","2025-10-29","904","928.4","902.3","919.4","694357","15.4","1.7","913.525",
