symbol,date,open,high,low,close,volume,change,changePercent,vwap
"BAYN.DE","2025-11-26","31","31.32","30.24","30.36","2326719","-0.64","-2.06","30.73",
"BAYN.DE","2025-11-25","31","31.45","29.6","30.83","3641243","-0.17","-0.54839","30.72",
"BAYN.DE","2025-11-24","29.74","31.05","29.48","30.6","15994654","0.855","2.89","30.2175",
"BAYN.DE","2025-11-21","26.72","27.89","26.64","27.59","2826668","0.865","3.26","27.21",
"BAYN.DE","2025-11-20","27.2","27.32","26.81","26.99","1658614","-0.215","-0.77206","27.08",
"BAYN.DE","2025-11-19","27.35","27.5","27.02","27.02","1472652","-0.33","-1.21","27.2225",
"BAYN.DE","2025-11-18","27.55","27.65","27.05","27.37","1910340","-0.18","-0.65336","27.405",
"BAYN.DE","2025-11-17","28.39","28.39","27.84","27.95","1451699","-0.445","-1.55","28.1425",
"BAYN.DE","2025-11-14","29.6","29.85","28.11","28.41","4022158","-1.19","-4.02","28.9925",
"BAYN.DE","2025-11-13","29","29.96","28.98","29.94","3780721","0.94","3.24","29.47",
"BAYN.DE","2025-11-12","27.22","29.28","27.22","29.06","6950848","1.84","6.76","28.195",
"BAYN.DE","2025-11-11","26.73","27.5","26.3","27.43","2075024","0.7","2.62","26.99",
"BAYN.DE","2025-11-10","26.28","26.51","26.18","26.5","1348508","0.22","0.83714","26.3675",
"BAYN.DE","2025-11-07","26.49","26.59","25.78","26.06","1363201","-0.435","-1.62","26.23",
"BAYN.DE","2025-11-06","26.5","26.56","26.02","26.51","1761716","0.01","0.03773585","26.3975",
"BAYN.DE","2025-11-05","26.58","26.69","26.27","26.43","1390189","-0.155","-0.56433","26.4925",
"BAYN.DE","2025-11-04","26.35","26.76","26.11","26.76","1540360","0.405","1.56","26.495",
"BAYN.DE","2025-11-03","26.88","26.99","26.47","26.47","1373051","-0.41","-1.53","26.7025",
"BAYN.DE","2025-10-31","27","27.16","26.71","26.95","1523939","-0.05","-0.18519","26.955",
"BAYN.DE","2025-10-30","27.64","27.68","26.16","26.87","3240338","-0.765","-2.79","27.0875",
"BAYN.DE","2025-10-29","27.3","27.63","27.3","27.56","1054552","0.26","0.95238","27.4475",
"BAYN.DE","2025-10-28","27.6","27.77","27.35","27.45","1133956","-0.155","-0.54348","27.5425",
"BAYN.DE","2025-10-27","27.77","27.91","27.4","27.61","1794799","-0.16","-0.57616","27.6725",
