symbol,date,open,high,low,close,volume,change,changePercent,vwap
"DG.PA","2025-11-26","121.85","122.05","120.25","122.05","566763","0.2","0.16414","121.55",
"DG.PA","2025-11-25","119.85","121.65","118.85","121","854662","1.15","0.95953","120.3375",
"DG.PA","2025-11-24","120.35","120.5","119.1","119.4","1366407","-0.95","-0.78936","119.8375",
"DG.PA","2025-11-21","116.25","119.45","116","119.2","1327995","2.95","2.54","117.725",
"DG.PA","2025-11-20","118.35","118.95","115.55","116.8","892463","-1.55","-1.31","117.4125",
"DG.PA","2025-11-19","117","118.8","115.4","117.85","731245","0.85","0.7265","117.2625",
"DG.PA","2025-11-18","117.5","117.65","116.35","116.7","836216","-0.8","-0.68085","117.05",
"DG.PA","2025-11-17","119.45","119.95","118.35","118.5","648308","-0.95","-0.79531","119.0625",
"DG.PA","2025-11-14","119.6","120.6","118.7","119.5","744799","-0.1","-0.08361204","119.6",
"DG.PA","2025-11-13","120.35","121.05","120.15","120.6","727362","0.25","0.20773","120.5375",
"DG.PA","2025-11-12","118.75","120.35","118.55","119.9","650832","1.15","0.96842","119.3875",
"DG.PA","2025-11-11","117.8","118.7","117.3","118.4","406538","0.6","0.50934","118.05",
"DG.PA","2025-11-10","117.4","117.5","115.95","116.95","509671","-0.45","-0.3833","116.95",
"DG.PA","2025-11-07","116.45","116.8","114.9","115.6","560374","-0.85","-0.72993","115.9375",
"DG.PA","2025-11-06","117.05","117.3","116.3","116.45","672335","-0.6","-0.5126","116.775",
"DG.PA","2025-11-05","116.45","117.65","116.2","117.15","537014","0.7","0.60112","116.8625",
"DG.PA","2025-11-04","114.2","116.4","113.8","116.2","695446","2","1.75","115.15",
"DG.PA","2025-11-03","115.75","115.95","115.15","115.45","573210","-0.3","-0.25918","115.575",
"DG.PA","2025-10-31","115.8","116.4","115.35","115.9","791073","0.1","0.08635579","115.8625",
"DG.PA","2025-10-30","116.5","116.8","115.65","116.4","776004","-0.1","-0.08583691","116.3375",
"DG.PA","2025-10-29","117.4","117.85","115.95","116.15","850721","-1.25","-1.06","116.8375",
"DG.PA","2025-10-28","119.55","119.65","117.2","117.4","1075004","-2.15","-1.8","118.45",
"DG.PA","2025-10-27","120.4","120.7","118.8","120","802196","-0.4","-0.33223","119.975",
"DG.PA","2025-10-24","123.15","123.35","118.35","120.4","1048164","-2.75","-2.23","121.3125",
"DG.PA","2025-10-23","121.7","122.95","121.1","122.85","637572","1.15","0.94495","122.15",
"DG.PA","2025-10-22","121.75","122.35","121.2","122.2","899439","0.45","0.36961","121.875",
"DG.PA","2025-10-21","121.15","121.35","120.35","120.85","521977","-0.3","-0.24763","120.925",
"DG.PA","2025-10-20","121.55","121.7","119.9","121.45","624743","-0.1","-0.08227067","121.15",
"DG.PA","2025-10-17","120.05","122.15","119.75","121.4","944278","1.35","1.12","120.8375",
"DG.PA","2025-10-16","120.05","121.8","119.2","121.8","948575","1.75","1.46","120.7125",
