symbol,date,open,high,low,close,volume,change,changePercent,vwap
"ITX.MC","2025-11-26","47.98","48.08","47.3","48.05","1572601","0.07","0.14589","47.8525",
"ITX.MC","2025-11-25","46.64","47.55","46.5","47.54","1266923","0.9","1.93","47.0575",
"ITX.MC","2025-11-24","47.47","47.52","46.6","46.73","11144796","-0.74","-1.56","47.08",
"ITX.MC","2025-11-21","46.68","47.09","46.27","46.54","1945073","-0.14","-0.29991","46.645",
"ITX.MC","2025-11-20","47.58","47.8","47.33","47.48","1506640","-0.1","-0.21017","47.5475",
"ITX.MC","2025-11-19","46.61","47.59","46.61","47.33","1606164","0.72","1.54","47.035",
"ITX.MC","2025-11-18","46.5","46.66","46.11","46.59","2311656","0.09","0.19355","46.465",
"ITX.MC","2025-11-17","48.26","48.45","46.98","47.05","1375692","-1.21","-2.51","47.685",
"ITX.MC","2025-11-14","48.52","48.87","48.34","48.73","1436379","0.21","0.43281","48.615",
"ITX.MC","2025-11-13","49.95","49.95","48.86","48.93","1634352","-1.02","-2.04","49.4225",
"ITX.MC","2025-11-12","49.88","50.16","49.66","49.86","1628271","-0.02","-0.04009623","49.89",
"ITX.MC","2025-11-11","48.87","49.99","48.31","49.83","2678666","0.96","1.96","49.25",
"ITX.MC","2025-11-10","48.05","48.71","47.93","48.39","1580013","0.34","0.7076","48.27",
"ITX.MC","2025-11-07","48","48.04","47.18","47.54","1239773","-0.46","-0.95833","47.69",
"ITX.MC","2025-11-06","47.74","48.4","47.61","47.7","1263143","-0.04","-0.08378718","47.8625",
"ITX.MC","2025-11-05","47.06","48.16","46.87","47.94","14876494","0.88","1.87","47.5075",
"ITX.MC","2025-11-04","46.88","47.62","46.07","47.38","8446393","0.5","1.07","46.9875",
"ITX.MC","2025-11-03","47.73","48.19","47.39","47.47","1317880","-0.26","-0.54473","47.695",
"ITX.MC","2025-10-31","47.85","48.05","47.62","47.9","1206423","0.05","0.10449","47.855",
"ITX.MC","2025-10-30","48.08","48.26","47.38","47.87","1472575","-0.21","-0.43677","47.8975",
"ITX.MC","2025-10-29","49.6","50.02","49.11","49.22","1291509","-0.38","-0.76613","49.4875",
"ITX.MC","2025-10-28","50.28","50.32","49.57","49.65","1146765","-0.63","-1.25","49.955",
"ITX.MC","2025-10-27","49.8","50.22","49.59","50.22","1427425","0.42","0.84337","49.9575",
"ITX.MC","2025-10-24","49","49.7","48.92","49.7","1596715","0.7","1.43","49.33",
"ITX.MC","2025-10-23","48.66","48.91","48.35","48.78","926602","0.12","0.24661","48.675",
"ITX.MC","2025-10-22","48.88","49.03","48.59","48.59","17056662","-0.29","-0.59329","48.7725",
"ITX.MC","2025-10-21","48.97","49.31","48.73","49","6088934","0.03","0.061262","49.0025",
