symbol,date,open,high,low,close,volume,change,changePercent,vwap
"LDO.MI","2025-11-26","46.27","46.52","45.2","45.57","2513615","-0.7","-1.51","45.89",
"LDO.MI","2025-11-25","45","45.97","44.45","45.39","3827934","0.39","0.86667","45.2025",
"LDO.MI","2025-11-24","45","45.84","44.79","44.97","4807583","-0.03","-0.06666667","45.15",
"LDO.MI","2025-11-21","47.36","47.75","46.04","46.04","5385053","-1.32","-2.79","46.7975",
"LDO.MI","2025-11-20","48.08","50.08","47.96","49.1","3100053","1.02","2.12","48.805",
"LDO.MI","2025-11-19","50.46","50.6","47.33","47.72","4337944","-2.74","-5.43","49.0275",
"LDO.MI","2025-11-18","50","51.98","49.98","50.16","2353592","0.16","0.32","50.53",
"LDO.MI","2025-11-17","50.34","51.76","50.3","51.08","2440558","0.74","1.47","50.87",
"LDO.MI","2025-11-14","50.74","50.8","49.24","50.46","3107222","-0.28","-0.55183","50.31",
"LDO.MI","2025-11-13","49.98","51.9","49.98","51.36","3276599","1.38","2.76","50.805",
"LDO.MI","2025-11-12","49.95","50.52","49.64","50.18","2424051","0.23","0.46046","50.0725",
"LDO.MI","2025-11-11","50.4","50.4","49.25","49.95","3061241","-0.45","-0.89286","50",
"LDO.MI","2025-11-10","51","51.58","50.68","50.8","2112543","-0.2","-0.39216","51.015",
"LDO.MI","2025-11-07","49.33","51.14","48.8","50.52","2461612","1.19","2.41","49.9475",
"LDO.MI","2025-11-06","50.86","51.18","48.78","49.63","3770369","-1.23","-2.42","50.1125",
"LDO.MI","2025-11-05","50.6","52.3","49.53","50.5","4345368","-0.1","-0.19763","50.7325",
"LDO.MI","2025-11-04","51.24","51.28","50.54","51.02","2434355","-0.22","-0.42935","51.02",
"LDO.MI","2025-11-03","51.2","52.14","51.06","52.08","1983086","0.88","1.72","51.62",
"LDO.MI","2025-10-31","50.7","51.48","50.28","50.88","1563612","0.18","0.35503","50.835",
"LDO.MI","2025-10-30","51.02","51.14","50.16","50.52","1532342","-0.5","-0.98001","50.71",
"LDO.MI","2025-10-29","51.82","51.82","50.56","51.1","2019239","-0.72","-1.39","51.325",
"LDO.MI","2025-10-28","50.76","51.98","50.22","51.74","1389118","0.98","1.93","51.175",
"LDO.MI","2025-10-27","51.76","52.16","50.74","51.06","1680538","-0.7","-1.35","51.43",
"LDO.MI","2025-10-24","52","52.08","50.64","51.24","1465012","-0.76","-1.46","51.49",
"LDO.MI","2025-10-23","51.66","52.38","51.24","51.34","2061016","-0.32","-0.61943","51.655",
"LDO.MI","2025-10-22","51.46","52.72","50.5","50.5","3097831","-0.96","-1.87","51.295",
"LDO.MI","2025-10-21","51","51.04","50.06","50.82","2320979","-0.18","-0.35294","50.73",
"LDO.MI","2025-10-20","49.16","50.44","48.84","50.18","3567246","1.02","2.07","49.655",
"LDO.MI","2025-10-17","49.5","49.8","47.75","48.1","4659538","-1.4","-2.83","48.7875",
"LDO.MI","2025-10-16","49.52","51.48","49.46","50.8","2256701","1.28","2.58","50.315",
"LDO.MI","2025-10-15","52.56","52.6","50.16","50.18","2378175","-2.38","-4.53","51.375",
"LDO.MI","2025-10-14","52.04","52.48","50.92","52.38","1956096","0.34","0.65334","51.955",
"LDO.MI","2025-10-13","53.3","53.6","52.26","52.8","1747126","-0.5","-0.93809","52.99",
