symbol,date,open,high,low,close,volume,change,changePercent,vwap
"LIN.DE","2025-11-26","352","354.2","351","352.6","14005","0.6","0.17045","352.45",
"LIN.DE","2025-11-25","352.6","358.2","350.8","353.6","26079","1","0.28361","353.8",
"LIN.DE","2025-11-24","358","359.6","353.4","355.8","14004","-2.2","-0.61453","356.7",
"LIN.DE","2025-11-21","355.2","361.6","352.8","360.6","24443","5.4","1.52","357.55",
"LIN.DE","2025-11-20","358.8","360.8","357.6","359","20830","0.2","0.05574136","359.05",
"LIN.DE","2025-11-19","358","360.2","356","356.8","20069","-1.2","-0.3352","357.75",
"LIN.DE","2025-11-18","359.2","361.2","358.4","359","20635","-0.2","-0.05567929","359.45",
"LIN.DE","2025-11-17","364","365.8","361.4","361.8","12544","-2.2","-0.6044","363.25",
"LIN.DE","2025-11-14","368.6","371.6","364.4","366","24916","-2.6","-0.70537","367.65",
"LIN.DE","2025-11-13","369.2","370","362.4","366.6","14080","-2.6","-0.70423","367.05",
"LIN.DE","2025-11-12","369.6","370.8","366.6","368","14813","-1.6","-0.4329","368.75",
"LIN.DE","2025-11-11","370","370","364","368","21277","-2","-0.54054","368",
"LIN.DE","2025-11-10","364","365","360","362.2","23409","-1.8","-0.49451","362.8",
"LIN.DE","2025-11-07","360.8","365","357.8","363.4","17477","2.6","0.72062","361.75",
"LIN.DE","2025-11-06","362.6","364.2","360.6","362.2","16349","-0.4","-0.11031","362.4",
"LIN.DE","2025-11-05","365.8","367.2","361.6","363.6","41326","-2.2","-0.60142","364.55",
"LIN.DE","2025-11-04","357.2","366.2","355.2","364.8","34985","7.6","2.13","360.85",
"LIN.DE","2025-11-03","363.6","366.6","355.4","359","43578","-4.6","-1.27","361.15",
"LIN.DE","2025-10-31","367","371.8","359.4","364.8","38402","-2.2","-0.59946","365.75",
"LIN.DE","2025-10-30","371.8","376","370.6","375.8","33826","4","1.08","373.55",
"LIN.DE","2025-10-29","380","381.2","372.2","372.8","27655","-7.2","-1.89","376.55",
"LIN.DE","2025-10-28","382.8","384.2","378.8","382.2","26949","-0.6","-0.15674","382",
"LIN.DE","2025-10-27","384.2","386","382.2","384.8","13375","0.6","0.15617","384.3",
"LIN.DE","2025-10-24","386.8","388.6","384.6","385.2","12058","-1.6","-0.41365","386.3",
