symbol,date,open,high,low,close,volume,change,changePercent,vwap
"MC.PA","2025-11-26","623.7","628.1","617.9","625.4","287616","1.7","0.27257","623.775",
"MC.PA","2025-11-25","621.7","623.5","613.6","619.3","381010","-2.4","-0.38604","619.525",
"MC.PA","2025-11-24","630","630.7","620.8","621.7","654594","-8.3","-1.32","625.8",
"MC.PA","2025-11-21","610.8","623","609.1","623","451386","12.2","2","616.475",
"MC.PA","2025-11-20","614.1","626.8","611.9","619.6","406558","5.5","0.89562","618.1",
"MC.PA","2025-11-19","608.7","614.7","603.7","609.6","329533","0.9","0.14786","609.175",
"MC.PA","2025-11-18","615","617.7","606.1","611.3","499293","-3.7","-0.60163","612.525",
"MC.PA","2025-11-17","632","634.5","620.1","624","321628","-8","-1.27","627.65",
"MC.PA","2025-11-14","635.8","643.9","628.3","637","357865","1.2","0.18874","636.25",
"MC.PA","2025-11-13","650","654.7","636","636.8","450276","-13.2","-2.03","644.375",
"MC.PA","2025-11-12","637","650.4","635","647.2","487410","10.2","1.6","642.4",
"MC.PA","2025-11-11","622.1","639.1","621.3","632.9","405420","10.8","1.74","628.85",
"MC.PA","2025-11-10","616.2","620.6","611.2","617.9","323780","1.7","0.27588","616.475",
"MC.PA","2025-11-07","602.2","606.4","600.6","603.2","291704","1","0.16606","603.1",
"MC.PA","2025-11-06","610.8","617.1","598.5","600","403702","-10.8","-1.77","606.6",
"MC.PA","2025-11-05","596.3","617.6","591.4","612.8","286517","16.5","2.77","604.525",
"MC.PA","2025-11-04","609.9","612.5","602","611.2","291674","1.3","0.21315","608.9",
"MC.PA","2025-11-03","612.7","621.7","609","616.8","310321","4.1","0.66917","615.05",
"MC.PA","2025-10-31","607.3","613.7","605.7","612.1","367194","4.8","0.79038","609.7",
"MC.PA","2025-10-30","614.9","618.6","605.2","610.1","286364","-4.8","-0.78061","612.2",
"MC.PA","2025-10-29","611.3","620.2","610","618.8","367283","7.5","1.23","615.075",
"MC.PA","2025-10-28","606.6","617","606.4","614.6","253829","8","1.32","611.15",
"MC.PA","2025-10-27","613","614.4","603.2","611.5","291320","-1.5","-0.2447","610.525",
"MC.PA","2025-10-24","622","624.2","609","612.5","276678","-9.5","-1.53","616.925",
"MC.PA","2025-10-23","622.3","631.7","620.6","620.8","370311","-1.5","-0.24104","623.85",
"MC.PA","2025-10-22","610.9","623.2","606.7","623.2","709684","12.3","2.01","616",
"MC.PA","2025-10-21","609.2","619.6","608.7","616.8","381067","7.6","1.25","613.575",
"MC.PA","2025-10-20","607.2","614.1","605.3","612.1","360732","4.9","0.80698","609.675",
"MC.PA","2025-10-17","597","608","594.1","605.7","429369","8.7","1.46","601.2",
"MC.PA","2025-10-16","598.7","607.9","593.3","602.2","553170","3.5","0.5846","600.525",
"MC.PA","2025-10-15","602","611.8","585.5","597.9","1376612","-4.1","-0.68106","599.3",
"MC.PA","2025-10-14","534","536","527.4","532.8","448092","-1.2","-0.22472","532.55",
"MC.PA","2025-10-13","548.2","557.1","535.9","540.4","518104","-7.8","-1.42","545.4",
"MC.PA","2025-10-10","562","567.7","543.8","546","582762","-16","-2.85","554.875",
"MC.PA","2025-10-09","585","585.3","558.8","559.2","535910","-25.8","-4.41","572.075",
"MC.PA","2025-10-08","555.7","576.9","554.8","575.5","651388","19.8","3.56","565.725",
"MC.PA","2025-10-07","546","563.2","545","560","689135","14","2.56","553.55",
"MC.PA","2025-10-06","551","551.4","537.7","540.4","600595","-10.6","-1.92","545.125",
"MC.PA","2025-10-03","542.9","553.1","539.6","553.1","586960","10.2","1.88","547.175",
"MC.PA","2025-10-02","533.8","544.6","533.3","542.9","561065","9.1","1.7","538.65",
"MC.PA","2025-10-01","523.3","529.8","521.7","524","381637","0.7","0.13377","524.7",
"MC.PA","2025-09-30","522","524.4","516.7","520.5","461947","-1.5","-0.28736","520.9",
"MC.PA","2025-09-29","519.1","525.8","514.4","523.1","398489","4","0.77056","520.6",
"MC.PA","2025-09-26","510","520.4","508.8","515.7","395227","5.7","1.12","513.725",
"MC.PA","2025-09-25","509.1","514.2","504.6","506.8","394947","-2.3","-0.45178","508.675",
"MC.PA","2025-09-24","521.3","521.6","507.7","509.1","530170","-12.2","-2.34","514.925",
"MC.PA","2025-09-23","510","530.1","507.6","523.2","502090","13.2","2.59","517.725",
"MC.PA","2025-09-22","510.6","512.9","502.5","507","286999","-3.6","-0.70505","508.25",
"MC.PA","2025-09-19","514","521.8","510.6","510.6","884978","-3.4","-0.66148","514.25",
"MC.PA","2025-09-18","509.6","525.3","509.3","517.6","529829","8","1.57","515.45",
"MC.PA","2025-09-17","510.1","512.3","503.5","511.3","508171","1.2","0.23525","509.3",
"MC.PA","2025-09-16","503.8","516.1","502.6","507.7","559413","3.9","0.77412","507.55",
"MC.PA","2025-09-15","492.8","506.2","492.3","504.2","420577","11.4","2.31","498.875",
"MC.PA","2025-09-12","486.5","494.15","483.05","490.65","382126","4.15","0.85303","488.5875",
"MC.PA","2025-09-11","490.85","493.45","483.55","487.35","357770","-3.5","-0.71305","488.8",
"MC.PA","2025-09-10","491.25","497.85","486.6","489.75","431683","-1.5","-0.30534","491.3625",
"MC.PA","2025-09-09","495.45","503.5","487.9","492","339904","-3.45","-0.69634","494.7125",
"MC.PA","2025-09-08","498.15","499.35","492.85","496.15","294081","-2","-0.40149","496.625",
"MC.PA","2025-09-05","500","503.1","490.6","496.25","518330","-3.75","-0.75","497.4875",
"MC.PA","2025-09-04","516.8","520","498.9","499.1","595875","-17.7","-3.42","508.7",
"MC.PA","2025-09-03","518.1","524.8","516.5","520.8","594776","2.7","0.52113","520.05",
"MC.PA","2025-09-02","512.1","523.7","511.4","513","566516","0.9","0.17575","515.05",
"MC.PA","2025-09-01","505.5","508.9","501.7","503.7","206296","-1.8","-0.35608","504.95",
"MC.PA","2025-08-29","510","515.6","504.1","504.1","452290","-5.9","-1.16","508.45",
"MC.PA","2025-08-28","502.7","525.5","502.7","513.1","638110","10.4","2.07","511",
"MC.PA","2025-08-27","486.8","507.1","486.2","502","518343","15.2","3.12","495.525",
"MC.PA","2025-08-26","483.1","495.35","483.1","486.25","2474373","3.15","0.65204","486.95",
"MC.PA","2025-08-25","495.25","495.6","486.1","488.05","286199","-7.2","-1.45","491.25",
"MC.PA","2025-08-22","481.75","498.6","481.45","495.1","423115","13.35","2.77","489.225",
"MC.PA","2025-08-21","492.15","493.55","482.55","485","318262","-7.15","-1.45","488.3125",
"MC.PA","2025-08-20","485.8","498.8","484.95","493.55","408762","7.75","1.6","490.775",
"MC.PA","2025-08-19","475.55","491.3","475.05","489.9","403634","14.35","3.02","482.95",
"MC.PA","2025-08-18","477.15","477.6","469.85","475.85","374669","-1.3","-0.27245","475.1125",
"MC.PA","2025-08-15","474","477.2","470.95","476.1","436434","2.1","0.44304","474.5625",
"MC.PA","2025-08-14","471.4","473","463.25","472.9","468887","1.5","0.3182","470.1375",
"MC.PA","2025-08-13","459.55","470.35","458.85","469.6","400911","10.05","2.19","464.5875",
"MC.PA","2025-08-12","460","462.05","450.15","457.15","406963","-2.85","-0.61957","457.3375",
"MC.PA","2025-08-11","465","467.85","455.5","458","325684","-7","-1.51","461.5875",
"MC.PA","2025-08-08","464.65","466.55","458.15","461.35","237798","-3.3","-0.71021","462.675",
"MC.PA","2025-08-07","460","469","457.8","461.1","317921","1.1","0.23913","461.975",
"MC.PA","2025-08-06","459","460.85","452.4","457.7","288926","-1.3","-0.28322","457.4875",
"MC.PA","2025-08-05","463.45","464.5","451.6","456.5","524030","-6.95","-1.5","459.0125",
"MC.PA","2025-08-04","462.15","466","458.7","462.3","409317","0.15","0.03245699","462.2875",
"MC.PA","2025-08-01","470","471.2","460","461.65","565862","-8.35","-1.78","465.7125",
"MC.PA","2025-07-31","479.3","481.05","470.2","472.35","570240","-6.95","-1.45","475.725",
"MC.PA","2025-07-30","474.8","487.15","474.8","480.75","503050","5.95","1.25","479.375",
"MC.PA","2025-07-29","489","489.45","474.8","474.8","699038","-14.2","-2.9","482.0125",
"MC.PA","2025-07-28","495.75","500.2","487.55","489.2","667768","-6.55","-1.32","493.175",
"MC.PA","2025-07-25","464.95","494.4","460.1","488.7","1004012","23.75","5.11","477.0375",
"MC.PA","2025-07-24","483.25","483.5","463.75","470.25","522409","-13","-2.69","475.1875",
"MC.PA","2025-07-23","477.15","480.85","473.35","479.95","466961","2.8","0.58682","477.825",
"MC.PA","2025-07-22","466.15","470.2","463.55","465.55","413256","-0.6","-0.12871","466.3625",
"MC.PA","2025-07-21","474.15","474.85","465.3","468.8","352498","-5.35","-1.13","470.775",
"MC.PA","2025-07-18","481","484.4","470.6","472.75","451192","-8.25","-1.72","477.1875",
"MC.PA","2025-07-17","479.35","485.35","472.25","476.85","429162","-2.5","-0.52154","478.45",
"MC.PA","2025-07-16","474.35","479.4","469.55","475.6","402058","1.25","0.26352","474.725",
"MC.PA","2025-07-15","479.45","486.5","477.35","477.35","414119","-2.1","-0.438","480.1625",
"MC.PA","2025-07-14","481.5","484.15","477.45","479.55","416095","-1.95","-0.40498","480.6625",
"MC.PA","2025-07-11","501","501.3","487.7","487.7","483687","-13.3","-2.65","494.425",
"MC.PA","2025-07-10","489.75","505","488.3","505","685442","15.25","3.11","497.0125",
"MC.PA","2025-07-09","483.35","489.6","479.65","487.85","459382","4.5","0.931","485.1125",
"MC.PA","2025-07-08","474.75","484.9","472.85","482.65","417527","7.9","1.66","478.7875",
"MC.PA","2025-07-07","478","479.15","470.6","475.35","327388","-2.65","-0.55439","475.775",
"MC.PA","2025-07-04","482.7","483.6","474.9","477.35","359252","-5.35","-1.11","479.6375",
"MC.PA","2025-07-03","495","495.25","485.05","485.9","600087","-9.1","-1.84","490.3",
"MC.PA","2025-07-02","474.2","492.65","466.15","488.5","1092297","14.3","3.02","480.375",
"MC.PA","2025-07-01","446.5","469.05","446.5","469.05","676415","22.55","5.05","457.775",
"MC.PA","2025-06-30","449.95","452.95","444.6","444.6","627500","-5.35","-1.19","448.025",
"MC.PA","2025-06-27","441.1","449.3","440.3","449.3","536063","8.2","1.86","445",
"MC.PA","2025-06-26","445.3","449.8","436.55","437.55","561542","-7.75","-1.74","442.3",
"MC.PA","2025-06-25","453.65","456","443.85","444.8","480189","-8.85","-1.95","449.575",
"MC.PA","2025-06-24","465.1","467.2","450","453.55","513993","-11.55","-2.48","458.9625",
"MC.PA","2025-06-23","445.7","451.3","444.03","449.8","399236","4.1","0.9199","447.7075",
"MC.PA","2025-06-20","454.75","457","448.7","449.95","1523772","-4.8","-1.06","452.6",
"MC.PA","2025-06-19","456","459.8","450.55","452.55","475583","-3.45","-0.75658","454.725",
"MC.PA","2025-06-18","459.8","466.2","459.6","464.05","380815","4.25","0.92431","462.4125",
"MC.PA","2025-06-17","461.4","467.25","459.15","460.7","409249","-0.7","-0.15171","462.125",
"MC.PA","2025-06-16","461.3","469.6","461.3","467.35","428699","6.05","1.31","464.8875",
"MC.PA","2025-06-13","460","463.25","457.25","461.4","574846","1.4","0.30435","460.475",
"MC.PA","2025-06-12","468","472.3","462.95","468.85","525876","0.85","0.18162","468.025",
"MC.PA","2025-06-11","476.85","482.75","470.5","470.6","637539","-6.25","-1.31","475.175",
"MC.PA","2025-06-10","466.75","475.4","466.15","474.85","524847","8.1","1.74","470.7875",
