symbol,date,open,high,low,close,volume,change,changePercent,vwap
"OR.PA","2025-11-26","373.15","377.25","371.05","373.9","329193","0.75","0.20099","373.8375",
"OR.PA","2025-11-25","366.7","369.8","363.5","367.2","254599","0.5","0.13635","366.8",
"OR.PA","2025-11-24","364.05","369.15","363.25","365.3","465077","1.25","0.34336","365.4375",
"OR.PA","2025-11-21","351.7","362.5","350.6","361.5","361045","9.8","2.79","356.575",
"OR.PA","2025-11-20","353.3","355.7","349.6","352.15","253214","-1.15","-0.3255","352.6875",
"OR.PA","2025-11-19","351","354.9","349.05","350.65","285369","-0.35","-0.0997151","351.4",
"OR.PA","2025-11-18","352.85","353.85","349.25","351.75","330786","-1.1","-0.31175","351.925",
"OR.PA","2025-11-17","358.65","359.5","353.95","354.55","257925","-4.1","-1.14","356.6625",
"OR.PA","2025-11-14","360","363.9","354.95","359","335570","-1","-0.27778","359.4625",
"OR.PA","2025-11-13","356.9","363.7","356.5","359.1","340961","2.2","0.61642","359.05",
"OR.PA","2025-11-12","359.55","359.55","355.5","356.9","283814","-2.65","-0.73703","357.875",
"OR.PA","2025-11-11","354.8","358.75","354.1","356.7","272635","1.9","0.53551","356.0875",
"OR.PA","2025-11-10","358.9","359","353.25","353.95","304341","-4.95","-1.38","356.275",
"OR.PA","2025-11-07","354.35","354.95","349.65","354.45","308308","0.1","0.02822069","353.35",
"OR.PA","2025-11-06","360.5","360.85","353.85","354.25","320823","-6.25","-1.73","357.3625",
"OR.PA","2025-11-05","361.05","362.6","359","362.5","327949","1.45","0.40161","361.2875",
"OR.PA","2025-11-04","358.1","364.55","355.1","364.05","223465","5.95","1.66","360.45",
"OR.PA","2025-11-03","363.1","365.3","360","361.85","237632","-1.25","-0.34426","362.5625",
"OR.PA","2025-10-31","368.15","370.45","360.55","362.65","352028","-5.5","-1.49","365.45",
"OR.PA","2025-10-30","367","371.8","365.75","367.35","239594","0.35","0.09536785","367.975",
"OR.PA","2025-10-29","368.1","370.5","366.75","368.3","174774","0.2","0.05433306","368.4125",
"OR.PA","2025-10-28","376.05","377.9","369.8","370.45","224786","-5.6","-1.49","373.55",
"OR.PA","2025-10-27","373.8","377.15","373.45","375.65","232541","1.85","0.49492","375.0125",
"OR.PA","2025-10-24","374.1","377.95","372.1","374.7","208166","0.6","0.16038","374.7125",
"OR.PA","2025-10-23","369.5","381","368.75","375.25","274667","5.75","1.56","373.625",
"OR.PA","2025-10-22","376.65","377.95","366.3","371.35","1051186","-5.3","-1.41","373.0625",
"OR.PA","2025-10-21","393.45","398","391.15","398","372105","4.55","1.16","395.15",
"OR.PA","2025-10-20","391.6","396.25","390.8","395.35","430552","3.75","0.95761","393.5",
"OR.PA","2025-10-17","382.1","391.75","379.05","390.65","328866","8.55","2.24","385.8875",
"OR.PA","2025-10-16","380","386.35","378.1","386.35","241236","6.35","1.67","382.7",
"OR.PA","2025-10-15","374.75","381","374.75","380.05","414274","5.3","1.41","377.6375",
"OR.PA","2025-10-14","370.75","372.1","367.9","368.5","215122","-2.25","-0.60688","369.8125",
"OR.PA","2025-10-13","373.4","374.3","368.6","370","248560","-3.4","-0.91055","371.575",
"OR.PA","2025-10-10","378.85","379.3","368.75","369.65","307053","-9.2","-2.43","374.1375",
"OR.PA","2025-10-09","379.55","382.45","376.15","376.15","275238","-3.4","-0.8958","378.575",
"OR.PA","2025-10-08","379.5","385.3","378.5","383.1","297120","3.6","0.94862","381.6",
"OR.PA","2025-10-07","374.6","379.85","371.3","379.25","234520","4.65","1.24","376.25",
"OR.PA","2025-10-06","374.95","376.9","370.55","374","298024","-0.95","-0.25337","374.1",
"OR.PA","2025-10-03","375.9","378.1","373","376.55","303450","0.65","0.17292","375.8875",
"OR.PA","2025-10-02","368.25","374.45","367.8","374.2","295959","5.95","1.62","371.175",
"OR.PA","2025-10-01","367.8","369.35","365.6","366.35","258316","-1.45","-0.39424","367.275",
"OR.PA","2025-09-30","364.55","368.5","360.25","368.5","386754","3.95","1.08","365.45",
"OR.PA","2025-09-29","368.75","370.75","365.05","365.05","329222","-3.7","-1","367.4",
"OR.PA","2025-09-26","367.85","368.5","364.75","366.9","355739","-0.95","-0.25826","367",
"OR.PA","2025-09-25","366.1","369.65","364.85","366.1","272436","0","0","366.675",
"OR.PA","2025-09-24","373.45","373.55","366.95","367.1","481060","-6.35","-1.7","370.2625",
"OR.PA","2025-09-23","363.9","378.1","362.5","374.7","468190","10.8","2.97","369.8",
"OR.PA","2025-09-22","371.6","371.75","360.25","362","410872","-9.6","-2.58","366.4",
"OR.PA","2025-09-19","376.05","379.3","369.05","369.65","1226423","-6.4","-1.7","373.5125",
"OR.PA","2025-09-18","378","380","376.25","378.2","267582","0.2","0.05291005","378.1125",
"OR.PA","2025-09-17","378.6","379.3","374.35","377.15","432787","-1.45","-0.38299","377.35",
"OR.PA","2025-09-16","380","383.3","377.1","377.35","380179","-2.65","-0.69737","379.4375",
"OR.PA","2025-09-15","383.45","392","382.3","388.6","317601","5.15","1.34","386.5875",
"OR.PA","2025-09-12","384.25","385.15","379.45","381.05","291485","-3.2","-0.83279","382.475",
"OR.PA","2025-09-11","388.5","390","382.6","383.85","278314","-4.65","-1.2","386.2375",
"OR.PA","2025-09-10","392.9","394.35","386.6","388.15","349391","-4.75","-1.21","390.5",
"OR.PA","2025-09-09","401.35","403.55","394.85","396.35","310865","-5","-1.25","399.025",
"OR.PA","2025-09-08","400.85","403.65","398.4","402.15","262999","1.3","0.32431","401.2625",
"OR.PA","2025-09-05","404","404.1","397.05","402.65","250838","-1.35","-0.33416","401.95",
"OR.PA","2025-09-04","399.7","407.85","398.95","404.4","272239","4.7","1.18","402.725",
"OR.PA","2025-09-03","399.25","399.85","395.55","399.6","249748","0.35","0.08766437","398.5625",
"OR.PA","2025-09-02","393.9","398.25","392.7","396.8","278637","2.9","0.73623","395.4125",
"OR.PA","2025-09-01","399.5","399.7","396.15","396.95","119470","-2.55","-0.6383","398.075",
"OR.PA","2025-08-29","401.5","402.9","397.9","397.9","257044","-3.6","-0.89664","400.05",
"OR.PA","2025-08-28","402","408.35","401.7","402.35","198915","0.35","0.08706468","403.6",
"OR.PA","2025-08-27","395.2","405.05","395.2","401.25","205036","6.05","1.53","399.175",
"OR.PA","2025-08-26","395.1","399.45","394","396.7","420745","1.6","0.40496","396.3125",
"OR.PA","2025-08-25","398","400.1","393.95","397.1","190786","-0.9","-0.22613","397.2875",
"OR.PA","2025-08-22","398.5","402","398.2","399","157925","0.5","0.12547","399.425",
"OR.PA","2025-08-21","403.05","403.55","400.4","400.7","246774","-2.35","-0.58305","401.925",
"OR.PA","2025-08-20","398.8","408.2","398.8","406.7","263805","7.9","1.98","403.125",
"OR.PA","2025-08-19","394.1","401","393.8","400","215365","5.9","1.5","397.225",
"OR.PA","2025-08-18","393.05","393.4","389.55","393.3","155510","0.25","0.06360514","392.325",
"OR.PA","2025-08-15","390.05","394.95","389.9","392.9","218559","2.85","0.73068","391.95",
"OR.PA","2025-08-14","388.7","391.9","387.75","388.75","203632","0.05","0.01286339","389.275",
"OR.PA","2025-08-13","380.35","388.8","378.95","388.15","177775","7.8","2.05","384.0625",
"OR.PA","2025-08-12","382.15","382.4","376.25","379.35","169143","-2.8","-0.7327","380.0375",
"OR.PA","2025-08-11","385","385.7","380.2","380.4","118828","-4.6","-1.19","382.825",
"OR.PA","2025-08-08","382.9","386.9","380.85","384.35","198995","1.45","0.37869","383.75",
"OR.PA","2025-08-07","376.35","384.45","375.2","382.15","229125","5.8","1.54","379.5375",
"OR.PA","2025-08-06","375.65","375.65","369.15","374.65","307890","-1","-0.26621","373.775",
"OR.PA","2025-08-05","379.6","380.5","369.4","373.3","308365","-6.3","-1.66","375.7",
"OR.PA","2025-08-04","377.3","381.25","375.45","379.85","243764","2.55","0.67585","378.4625",
"OR.PA","2025-08-01","387.3","387.3","376.1","376.1","404407","-11.2","-2.89","381.7",
"OR.PA","2025-07-31","396.8","399","388.65","389.35","491124","-7.45","-1.88","393.45",
"OR.PA","2025-07-30","363.85","391.5","362.9","388.55","574514","24.7","6.79","376.7",
"OR.PA","2025-07-29","374.45","376.1","370.6","373.6","315681","-0.85","-0.227","373.6875",
"OR.PA","2025-07-28","377.95","378.8","371","373.6","229048","-4.35","-1.15","375.3375",
"OR.PA","2025-07-25","371.7","377.45","370.25","374.7","244704","3","0.8071","373.525",
"OR.PA","2025-07-24","378.7","378.7","370.4","373.65","275998","-5.05","-1.33","375.3625",
"OR.PA","2025-07-23","374.3","378.5","372.65","374.95","349910","0.65","0.17366","375.1",
"OR.PA","2025-07-22","361.45","367.95","361.25","367.95","178351","6.5","1.8","364.65",
"OR.PA","2025-07-21","362.6","365","360.4","362.7","160346","0.1","0.0275786","362.675",
"OR.PA","2025-07-18","366.15","366.6","361.45","362.55","267856","-3.6","-0.9832","364.1875",
"OR.PA","2025-07-17","366.35","368.55","363.9","364.05","225451","-2.3","-0.62781","365.7125",
"OR.PA","2025-07-16","368.35","368.9","364","364","278025","-4.35","-1.18","366.3125",
"OR.PA","2025-07-15","370.3","372.7","367.1","367.6","205452","-2.7","-0.72914","369.425",
"OR.PA","2025-07-14","372","373.75","370.15","373.1","136065","1.1","0.2957","372.25",
"OR.PA","2025-07-11","380.4","380.8","373.3","373.85","211268","-6.55","-1.72","377.0875",
"OR.PA","2025-07-10","375.95","382.75","375.2","382.25","286165","6.3","1.68","379.0375",
"OR.PA","2025-07-09","374.2","377.2","371.85","374.35","308300","0.15","0.04008552","374.4",
"OR.PA","2025-07-08","371.65","374","367.15","374","273327","2.35","0.63232","371.7",
"OR.PA","2025-07-07","371.9","372.85","368.65","372.75","238536","0.85","0.22856","371.5375",
"OR.PA","2025-07-04","372","372.35","368.05","369.95","223764","-2.05","-0.55108","370.5875",
"OR.PA","2025-07-03","373.75","374.35","370.75","372.85","186062","-0.9","-0.2408","372.925",
"OR.PA","2025-07-02","374.3","374.9","368.8","372.85","292395","-1.45","-0.38739","372.7125",
"OR.PA","2025-07-01","363.95","373.3","363.25","372.85","355944","8.9","2.45","368.3375",
"OR.PA","2025-06-30","360","365.6","356.65","363.1","482957","3.1","0.86111","361.3375",
"OR.PA","2025-06-27","352.7","358.25","352.1","355.15","457120","2.45","0.69464","354.55",
"OR.PA","2025-06-26","357.6","357.6","348.35","349.75","370006","-7.85","-2.2","353.325",
"OR.PA","2025-06-25","361.3","362.8","355.4","356.1","311577","-5.2","-1.44","358.9",
"OR.PA","2025-06-24","368.05","368.95","361.2","363.55","332323","-4.5","-1.22","365.4375",
"OR.PA","2025-06-23","362.05","365.15","351.35","359","426479","-3.05","-0.84243","359.3875",
"OR.PA","2025-06-20","366.2","368.6","364.4","364.95","676684","-1.25","-0.34134","366.0375",
"OR.PA","2025-06-19","366.45","368.55","363.5","363.6","261121","-2.85","-0.77773","365.525",
"OR.PA","2025-06-18","370.5","372.3","367.3","370","273917","-0.5","-0.13495","370.025",
"OR.PA","2025-06-17","367.5","369.85","364.85","369","256562","1.5","0.40816","367.8",
"OR.PA","2025-06-16","369.9","373.65","367","370.2","358019","0.3","0.081103","370.1875",
"OR.PA","2025-06-13","370.85","374.25","369.3","371.05","389984","0.2","0.05393016","371.3625",
"OR.PA","2025-06-12","376.1","376.9","373.1","375.75","278411","-0.35","-0.09306036","375.4625",
"OR.PA","2025-06-11","381.7","383.15","378.25","378.3","318795","-3.4","-0.89075","380.35",
"OR.PA","2025-06-10","375.35","383.25","375.35","382.3","285308","6.95","1.85","379.0625",
"OR.PA","2025-06-09","378","381.9","377.9","378.9","199867","0.9","0.2381","379.175",
"OR.PA","2025-06-06","381.2","383.05","378.85","381.35","292872","0.15","0.03934942","381.1125",
"OR.PA","2025-06-05","385.3","388.4","380.45","382.25","266721","-3.05","-0.79159","384.1",
"OR.PA","2025-06-04","374.75","385.8","372.55","384.85","373076","10.1","2.7","379.4875",
"OR.PA","2025-06-03","372.7","375.9","370.5","374.7","394263","2","0.53662","373.45",
"OR.PA","2025-06-02","368.45","372.9","365.75","371.05","312639","2.6","0.70566","369.5375",
"OR.PA","2025-05-30","368.9","374.05","367.65","372.4","614049","3.5","0.94877","370.75",
"OR.PA","2025-05-29","369","371.5","365.05","366.1","164123","-2.9","-0.78591","367.9125",
"OR.PA","2025-05-28","370.15","371.65","364.85","366.45","539587","-3.7","-0.99959","368.275",
"OR.PA","2025-05-27","373.15","376.05","369.9","373.4","313226","0.25","0.06699719","373.125",
"OR.PA","2025-05-26","375.05","378.2","373.55","374.05","182900","-1","-0.26663","375.2125",
"OR.PA","2025-05-23","379.5","380.35","368.65","372.95","405540","-6.55","-1.73","375.3625",
"OR.PA","2025-05-22","382.95","384.45","374.15","379.75","313089","-3.2","-0.83562","380.325",
"OR.PA","2025-05-21","377.7","385.95","377.4","385.45","321238","7.75","2.05","381.625",
"OR.PA","2025-05-20","379.55","383.75","377.7","381.05","312094","1.5","0.3952","380.5125",
"OR.PA","2025-05-19","373","379.45","372.95","378.55","335001","5.55","1.49","375.9875",
"OR.PA","2025-05-16","378.35","380.15","372.2","373.85","388775","-4.5","-1.19","376.1375",
"OR.PA","2025-05-15","372.9","377.8","369.55","376.9","354957","4","1.07","374.2875",
"OR.PA","2025-05-14","384.05","384.2","372.6","372.6","462656","-11.45","-2.98","378.3625",
"OR.PA","2025-05-13","394.15","394.25","385","385.15","318152","-9","-2.28","389.6375",
"OR.PA","2025-05-12","384.9","394.65","384.9","394.55","426156","9.65","2.51","389.75",
"OR.PA","2025-05-09","376.9","384.1","376.75","383.2","357884","6.3","1.67","380.2375",
"OR.PA","2025-05-08","377.2","378.9","373.95","375.35","299625","-1.85","-0.49046","376.35",
"OR.PA","2025-05-07","379.75","381.5","373.1","374.4","408231","-5.35","-1.41","377.1875",
"OR.PA","2025-05-06","389.9","390.95","379.6","381.1","308680","-8.8","-2.26","385.3875",
"OR.PA","2025-05-05","388.5","390.2","386.8","389.85","213209","1.35","0.34749","388.8375",
"OR.PA","2025-05-02","390.85","394.68","382.45","393.3","589935","2.45","0.62684","390.32",
"OR.PA","2025-04-30","387.45","389.8","383.45","387","805833","-0.45","-0.11614","386.925",
"OR.PA","2025-04-29","381.85","388","381.3","388","509372","6.15","1.61","384.7875",
"OR.PA","2025-04-28","376","381.45","375.5","379.2","282453","3.2","0.85106","378.0375",
"OR.PA","2025-04-25","382.35","383.6","374.2","374.2","423532","-8.15","-2.13","378.5875",
"OR.PA","2025-04-24","374.75","380.8","373.7","380.8","412817","6.05","1.61","377.5125",
"OR.PA","2025-04-23","363.95","380.35","363.45","374.5","772320","10.55","2.9","370.5625",
"OR.PA","2025-04-22","349.4","363.8","346.85","363.4","702089","14","4.01","355.8625",
"OR.PA","2025-04-17","337.7","345.7","337.05","341.85","428214","4.15","1.23","340.575",
"OR.PA","2025-04-16","342.4","343.5","337.1","341.6","532235","-0.8","-0.23364","341.15",
"OR.PA","2025-04-15","342.5","347.65","337.15","343.8","519151","1.3","0.37956","342.775",
"OR.PA","2025-04-14","351.6","354","348.95","350.8","472082","-0.8","-0.22753","351.3375",
"OR.PA","2025-04-11","350.15","352.3","341.85","347.6","449954","-2.55","-0.72826","347.975",
"OR.PA","2025-04-10","345.8","358.85","343.95","347.05","579036","1.25","0.36148","348.9125",
"OR.PA","2025-04-09","336.45","340.1","330.55","335.6","672172","-0.85","-0.25264","335.675",
"OR.PA","2025-04-08","343.4","346.6","335.6","343.6","750367","0.2","0.05824112","342.3",
"OR.PA","2025-04-07","335.25","348.2","326.65","335.85","1395115","0.6","0.17897","336.4875",
"OR.PA","2025-04-04","352.15","364.45","347.85","349.7","976592","-2.45","-0.69573","353.5375",
"OR.PA","2025-04-03","351.55","356.8","345.7","350.9","774019","-0.65","-0.1849","351.2375",
"OR.PA","2025-04-02","352.6","357.55","351.65","356.25","506329","3.65","1.04","354.5125",
"OR.PA","2025-04-01","346.95","354.55","344.8","353.1","461160","6.15","1.77","349.85",
"OR.PA","2025-03-31","342.25","345.4","340.75","342.85","444697","0.6","0.17531","342.8125",
"OR.PA","2025-03-28","340.8","347","339.75","345.1","418671","4.3","1.26","343.1625",
"OR.PA","2025-03-27","341.05","343.3","337.7","342","371877","0.95","0.27855","341.0125",
"OR.PA","2025-03-26","347.4","348.5","342.1","342.75","415637","-4.65","-1.34","345.1875",
"OR.PA","2025-03-25","347.95","353.75","347.5","348.2","353058","0.25","0.0718494","349.35",
"OR.PA","2025-03-24","355.25","357.65","347.75","349.2","411521","-6.05","-1.7","352.4625",
"OR.PA","2025-03-21","360.15","361","352.05","352.75","808314","-7.4","-2.05","356.4875",
"OR.PA","2025-03-20","361.85","362.2","356.85","360.6","328256","-1.25","-0.34545","360.375",
"OR.PA","2025-03-19","359","364.65","357.2","361.85","411209","2.85","0.79387","360.675",
"OR.PA","2025-03-18","365.3","365.3","359.35","360.25","380733","-5.05","-1.38","362.55",
"OR.PA","2025-03-17","365.3","366.2","358.8","363.45","540758","-1.85","-0.50643","363.4375",
"OR.PA","2025-03-14","357.55","369.85","357","366.9","711507","9.35","2.62","362.825",
"OR.PA","2025-03-13","348.9","361.1","348.85","354.85","520295","5.95","1.71","353.425",
"OR.PA","2025-03-12","358.95","360.3","350","350","440358","-8.95","-2.49","354.8125",
"OR.PA","2025-03-11","363","365.25","354.15","356.25","557121","-6.75","-1.86","359.6625",
"OR.PA","2025-03-10","362.25","370.8","358.4","364.5","712673","2.25","0.62112","363.9875",
"OR.PA","2025-03-07","363.75","364.05","351.8","359.55","753866","-4.2","-1.15","359.7875",
"OR.PA","2025-03-06","364.45","366.35","358.25","365.8","622957","1.35","0.37042","363.7125",
"OR.PA","2025-03-05","358.8","365.35","358.6","364.4","621734","5.6","1.56","361.7875",
"OR.PA","2025-03-04","357.25","359","353.1","358","470630","0.75","0.20994","356.8375",
"OR.PA","2025-03-03","351.05","359.65","348.05","359.05","438175","8","2.28","354.45",
"OR.PA","2025-02-28","347.25","353.3","346.4","353","738570","5.75","1.66","349.9875",
"OR.PA","2025-02-27","348.25","351.55","345.85","350.1","465612","1.85","0.53123","348.9375",
"OR.PA","2025-02-26","349.35","354.25","348.7","350.55","365810","1.2","0.3435","350.7125",
"OR.PA","2025-02-25","346","349.75","344.5","347.75","288828","1.75","0.50578","347",
"OR.PA","2025-02-24","348.25","349.1","343.25","347.75","397961","-0.5","-0.14358","347.0875",
"OR.PA","2025-02-21","339.15","346.2","337.45","346.1","534373","6.95","2.05","342.225",
"OR.PA","2025-02-20","333.45","337.9","332.05","337.9","465430","4.45","1.33","335.325",
"OR.PA","2025-02-19","342","342.9","332.75","333.95","453632","-8.05","-2.35","337.9",
"OR.PA","2025-02-18","344.05","346.45","337.1","341.8","471083","-2.25","-0.65397","342.35",
"OR.PA","2025-02-17","341.65","343.5","339.8","343","252194","1.35","0.39514","341.9875",
"OR.PA","2025-02-14","344.05","344.95","341.45","343.35","396706","-0.7","-0.20346","343.45",
"OR.PA","2025-02-13","335.2","342.35","334.15","342.25","616751","7.05","2.1","338.4875",
"OR.PA","2025-02-12","342.35","344.45","333.15","333.95","619969","-8.4","-2.45","338.475",
"OR.PA","2025-02-11","341.65","343.55","338.85","341.35","405241","-0.3","-0.08780916","341.35",
"OR.PA","2025-02-10","341.75","343.1","336.9","342.45","438454","0.7","0.20483","341.05",
"OR.PA","2025-02-07","340","347.45","336.1","340.6","885279","0.6","0.17647","341.0375",
"OR.PA","2025-02-06","345.55","353.65","343.9","353.1","388089","7.55","2.18","349.05",
"OR.PA","2025-02-05","348.15","350.4","344.65","345.6","465865","-2.55","-0.73244","347.2",
"OR.PA","2025-02-04","353.1","354.65","349.05","350.65","421300","-2.45","-0.69385","351.8625",
"OR.PA","2025-02-03","349.65","355.15","349.1","353.85","368901","4.2","1.2","351.9375",
"OR.PA","2025-01-31","364.45","365.55","356.5","358.5","640374","-5.95","-1.63","361.25",
"OR.PA","2025-01-30","357.2","366.5","357","363.55","332133","6.35","1.78","361.0625",
"OR.PA","2025-01-29","362","363.2","356.05","356.35","427124","-5.65","-1.56","359.4",
"OR.PA","2025-01-28","363.15","368.35","362.25","367.6","417633","4.45","1.23","365.3375",
"OR.PA","2025-01-27","356.7","363.85","355.8","363.15","524422","6.45","1.81","359.875",
"OR.PA","2025-01-24","359.8","368.7","358.45","358.45","717190","-1.35","-0.37521","361.35",
"OR.PA","2025-01-23","349.3","354.7","347.5","354.55","564561","5.25","1.5","351.5125",
"OR.PA","2025-01-22","340.35","352.15","340","349.65","566359","9.3","2.73","345.5375",
"OR.PA","2025-01-21","340.9","342.55","338.65","341.2","252084","0.3","0.08800235","340.825",
"OR.PA","2025-01-20","343.45","344.2","338.95","340.8","280048","-2.65","-0.77158","341.85",
"OR.PA","2025-01-17","341.4","344.95","338.15","343.45","497094","2.05","0.60047","341.9875",
"OR.PA","2025-01-16","337","341.35","335.85","338.9","541867","1.9","0.5638","338.275",
"OR.PA","2025-01-15","326.7","332.95","323.7","329.5","511551","2.8","0.85706","328.2125",
"OR.PA","2025-01-14","332.5","332.5","326.2","326.65","334732","-5.85","-1.76","329.4625",
"OR.PA","2025-01-13","325.7","329.3","324.05","328.4","308029","2.7","0.82898","326.8625",
"OR.PA","2025-01-10","330.15","331.6","325.85","327.4","373383","-2.75","-0.83295","328.75",
"OR.PA","2025-01-09","327.8","333.95","327.25","331.9","292029","4.1","1.25","330.225",
"OR.PA","2025-01-08","332.5","333.25","326.1","331.45","437464","-1.05","-0.31579","330.825",
"OR.PA","2025-01-07","337","341.95","335.2","336.25","428812","-0.75","-0.22255","337.6",
"OR.PA","2025-01-06","332.75","340.8","330.2","338","369183","5.25","1.58","335.4375",
"OR.PA","2025-01-03","337.95","338.75","331.95","332","308727","-5.95","-1.76","335.1625",
"OR.PA","2025-01-02","341.85","341.85","333.5","338.1","220964","-3.75","-1.1","338.825",
"OR.PA","2024-12-31","335.9","342.25","335.6","341.85","117420","5.95","1.77","338.9",
"OR.PA","2024-12-30","343.5","343.5","337.1","337.4","261837","-6.1","-1.78","340.375",
"OR.PA","2024-12-27","338.45","344.5","337.75","344.5","384340","6.05","1.79","341.3",
"OR.PA","2024-12-24","339.75","340.65","338.95","339.85","59963","0.1","0.02943341","339.8",
"OR.PA","2024-12-23","336.25","338.75","333.65","338.05","248220","1.8","0.53532","336.675",
"OR.PA","2024-12-20","338.8","339.6","335.05","336.95","865736","-1.85","-0.54604","337.6",
"OR.PA","2024-12-19","336.1","340.35","335.45","339.35","484848","3.25","0.96697","337.8125",
"OR.PA","2024-12-18","344.85","345.8","341.7","342","480048","-2.85","-0.82645","343.5875",
"OR.PA","2024-12-17","340","345.95","339.75","344.85","480963","4.85","1.43","342.6375",
"OR.PA","2024-12-16","340.8","341.95","339","341.6","354278","0.8","0.23474","340.8375",
"OR.PA","2024-12-13","343.1","344.5","340.2","343.35","555546","0.25","0.07286505","342.7875",
"OR.PA","2024-12-12","343","344.55","341.3","344.5","516092","1.5","0.43732","343.3375",
"OR.PA","2024-12-11","342","344.1","341","341.5","470206","-0.5","-0.1462","342.15",
"OR.PA","2024-12-10","346.15","348.4","344.18","345.25","519136","-0.9","-0.26","345.995",
"OR.PA","2024-12-09","345.65","352.65","345.55","349.7","586505","4.05","1.17","348.3875",
"OR.PA","2024-12-06","338.05","347.35","337.15","343.6","708518","5.55","1.64","341.5375",
"OR.PA","2024-12-05","333.45","337.35","333","336.15","357155","2.7","0.80972","334.9875",
"OR.PA","2024-12-04","330.8","333.25","330.05","333.25","401362","2.45","0.74063","331.8375",
"OR.PA","2024-12-03","334","336.65","328.4","329.6","387587","-4.4","-1.32","332.1625",
"OR.PA","2024-12-02","324.35","333.75","322.8","333.5","445958","9.15","2.82","328.6",
"OR.PA","2024-11-29","326.1","328.95","325.2","328.65","387391","2.55","0.78197","327.225",
"OR.PA","2024-11-28","333","334.35","328.55","328.9","226380","-4.1","-1.23","331.2",
"OR.PA","2024-11-27","331","333.4","329.65","332.85","300479","1.85","0.55891","331.725",
"OR.PA","2024-11-26","331.15","336.3","328.4","332.45","322632","1.3","0.39257","332.075",
"OR.PA","2024-11-25","332.9","336.05","329.85","333.7","724569","0.8","0.24031","333.125",
"OR.PA","2024-11-22","324.15","331.1","323.1","329.05","477166","4.9","1.51","326.85",
"OR.PA","2024-11-21","319.65","324.2","316.3","322.9","401865","3.25","1.02","320.7625",
"OR.PA","2024-11-20","324.4","324.65","320.2","320.2","282177","-4.2","-1.29","322.3625",
"OR.PA","2024-11-19","325.75","326.65","318.85","321.95","412736","-3.8","-1.17","323.3",
"OR.PA","2024-11-18","327.25","327.4","323.35","324.9","296309","-2.35","-0.71811","325.725",
"OR.PA","2024-11-15","327.1","328.7","325.2","327.2","410573","0.1","0.03057169","327.05",
"OR.PA","2024-11-14","328.15","331.85","326.1","329.8","486533","1.65","0.50282","328.975",
"OR.PA","2024-11-13","327.6","330.7","324.75","326.95","554073","-0.65","-0.19841","327.5",
"OR.PA","2024-11-12","332.65","333.85","328.2","329","459132","-3.65","-1.1","330.925",
"OR.PA","2024-11-11","340.25","340.8","335.55","337","360985","-3.25","-0.95518","338.4",
"OR.PA","2024-11-08","345.2","345.8","334.2","334.7","453341","-10.5","-3.04","339.975",
"OR.PA","2024-11-07","337.85","345.95","337.05","345.95","554776","8.1","2.4","341.7",
"OR.PA","2024-11-06","347.3","353.45","337.45","337.7","643135","-9.6","-2.76","343.975",
"OR.PA","2024-11-05","345.35","347.3","343.8","347.3","329243","1.95","0.56464","345.9375",
"OR.PA","2024-11-04","345.25","349.25","344.05","344.4","274294","-0.85","-0.2462","345.7375",
"OR.PA","2024-11-01","342.15","348.95","342.15","346.5","376364","4.35","1.27","344.9375",
