symbol,date,open,high,low,close,volume,change,changePercent,vwap
"RMS.PA","2025-11-26","2143","2156","2128","2151","44895","8","0.37331","2144.5",
"RMS.PA","2025-11-25","2116","2134","2091","2126","38832","10","0.47259","2116.75",
"RMS.PA","2025-11-24","2147","2152","2108","2110","80470","-37","-1.72","2129.25",
"RMS.PA","2025-11-21","2089","2136","2077","2124","48904","35","1.68","2106.5",
"RMS.PA","2025-11-20","2137","2155","2085","2108","40686","-29","-1.36","2121.25",
"RMS.PA","2025-11-19","2084","2123","2068","2110","45677","26","1.25","2096.25",
"RMS.PA","2025-11-18","2110","2110","2060","2080","53725","-30","-1.42","2090",
"RMS.PA","2025-11-17","2157","2167","2125","2125","36322","-32","-1.48","2143.5",
"RMS.PA","2025-11-14","2160","2179","2123","2156","44805","-4","-0.18519","2154.5",
"RMS.PA","2025-11-13","2210","2238","2164","2164","55423","-46","-2.08","2194",
"RMS.PA","2025-11-12","2178","2211","2173","2200","65805","22","1.01","2190.5",
"RMS.PA","2025-11-11","2105","2176","2103","2163","45689","58","2.76","2136.75",
"RMS.PA","2025-11-10","2091","2104","2078","2086","46463","-5","-0.23912","2089.75",
"RMS.PA","2025-11-07","2050","2084","2044","2058","45838","8","0.39024","2059",
"RMS.PA","2025-11-06","2090","2101","2043","2043","42303","-47","-2.25","2069.25",
"RMS.PA","2025-11-05","2050","2113","2050","2098","41110","48","2.34","2077.75",
"RMS.PA","2025-11-04","2074","2090","2046","2084","49133","10","0.48216","2073.5",
"RMS.PA","2025-11-03","2143","2151","2112","2116","46174","-27","-1.26","2130.5",
"RMS.PA","2025-10-31","2172","2177","2136","2149","48183","-23","-1.06","2158.5",
"RMS.PA","2025-10-30","2165","2202","2164","2178","42718","13","0.60046","2177.25",
"RMS.PA","2025-10-29","2185","2204","2163","2182","38641","-3","-0.1373","2183.5",
"RMS.PA","2025-10-28","2195","2217","2182","2201","40795","6","0.27335","2198.75",
"RMS.PA","2025-10-27","2200","2207","2176","2207","39175","7","0.31818","2197.5",
"RMS.PA","2025-10-24","2200","2225","2175","2194","40923","-6","-0.27273","2198.5",
"RMS.PA","2025-10-23","2204","2247","2190","2194","52753","-10","-0.45372","2208.75",
"RMS.PA","2025-10-22","2183","2220","2138","2199","118070","16","0.73294","2185",
"RMS.PA","2025-10-21","2222","2268","2207","2250","93500","28","1.26","2236.75",
"RMS.PA","2025-10-20","2212","2239","2194","2218","57505","6","0.27125","2215.75",
"RMS.PA","2025-10-17","2155","2202","2146","2191","57737","36","1.67","2173.5",
"RMS.PA","2025-10-16","2168","2184","2148","2162","56692","-6","-0.27675","2165.5",
"RMS.PA","2025-10-15","2146","2191","2121","2175","103407","29","1.35","2158.25",
"RMS.PA","2025-10-14","2034","2039","2014","2026","53068","-8","-0.39331","2028.25",
