symbol,date,open,high,low,close,volume,change,changePercent,vwap
"RNO.PA","2025-11-26","34.82","34.88","34.18","34.35","961251","-0.47","-1.35","34.5575",
"RNO.PA","2025-11-25","34.47","34.7","33.74","34.7","1079653","0.23","0.66725","34.4025",
"RNO.PA","2025-11-24","34.6","35.01","34.19","34.25","1865080","-0.35","-1.01","34.5125",
"RNO.PA","2025-11-21","33.24","34.32","33.18","34.32","1282679","1.08","3.25","33.765",
"RNO.PA","2025-11-20","34.61","34.68","33.47","33.72","1271251","-0.89","-2.57","34.12",
"RNO.PA","2025-11-19","34.11","34.81","33.75","34.4","911332","0.29","0.85019","34.2675",
"RNO.PA","2025-11-18","35","35","34.04","34.21","1464325","-0.79","-2.26","34.5625",
"RNO.PA","2025-11-17","36.2","36.64","35.23","35.57","999427","-0.63","-1.74","35.91",
"RNO.PA","2025-11-14","36.73","36.79","35.85","36.25","938390","-0.48","-1.31","36.405",
"RNO.PA","2025-11-13","36.76","37.08","36.53","36.84","929370","0.08","0.21763","36.8025",
"RNO.PA","2025-11-12","36.1","36.95","35.93","36.48","1702443","0.38","1.05","36.365",
"RNO.PA","2025-11-11","34.59","35.79","34.45","35.77","1110365","1.18","3.41","35.15",
"RNO.PA","2025-11-10","34.48","34.85","34.41","34.62","878315","0.14","0.40603","34.59",
"RNO.PA","2025-11-07","34.35","34.5","33.78","34.04","677423","-0.31","-0.90247","34.1675",
"RNO.PA","2025-11-06","34.5","34.61","34.02","34.11","628778","-0.39","-1.13","34.31",
"RNO.PA","2025-11-05","33.21","34.7","33.09","34.45","1150512","1.24","3.73","33.8625",
"RNO.PA","2025-11-04","34.03","34.06","33.57","33.66","981683","-0.37","-1.09","33.83",
"RNO.PA","2025-11-03","33.79","35.08","33.79","34.45","910414","0.66","1.95","34.2775",
"RNO.PA","2025-10-31","32.98","33.86","32.94","33.7","1055038","0.72","2.18","33.37",
"RNO.PA","2025-10-30","34.14","34.2","32.41","33.09","1368657","-1.05","-3.08","33.46",
"RNO.PA","2025-10-29","34.44","34.48","33.79","33.86","711401","-0.58","-1.68","34.1425",
"RNO.PA","2025-10-28","33.45","34.29","33.45","34.2","601262","0.75","2.24","33.8475",
"RNO.PA","2025-10-27","34.57","34.88","33.55","33.61","1524896","-0.96","-2.78","34.1525",
"RNO.PA","2025-10-24","34.2","34.5","33.92","34.37","853614","0.17","0.49708","34.2475",
"RNO.PA","2025-10-23","35.65","36.04","33.97","34.19","1251837","-1.46","-4.1","34.9625",
"RNO.PA","2025-10-22","35.25","35.28","34.42","35.28","1249197","0.03","0.08510638","35.0575",
"RNO.PA","2025-10-21","35.1","35.4","34.76","35.34","693011","0.24","0.68376","35.15",
"RNO.PA","2025-10-20","34.39","34.94","34.27","34.94","905160","0.55","1.6","34.635",
"RNO.PA","2025-10-17","33.47","34.51","33.11","34.39","938878","0.92","2.75","33.87",
"RNO.PA","2025-10-16","33.45","34.09","33.25","34","704018","0.55","1.64","33.6975",
"RNO.PA","2025-10-15","34.43","34.47","33.36","33.45","786159","-0.98","-2.85","33.9275",
"RNO.PA","2025-10-14","34.29","34.31","33.41","33.63","925184","-0.66","-1.92","33.91",
"RNO.PA","2025-10-13","34.61","35.02","34.15","34.37","749864","-0.24","-0.69344","34.5375",
"RNO.PA","2025-10-10","35.28","35.49","34.33","34.33","1027936","-0.95","-2.69","34.8575",
"RNO.PA","2025-10-09","35.54","36.11","35.15","35.15","880527","-0.39","-1.1","35.4875",
"RNO.PA","2025-10-08","35.25","35.98","35.17","35.5","1086081","0.25","0.70922","35.475",
"RNO.PA","2025-10-07","35.68","36.41","35.47","36.16","1411183","0.48","1.35","35.93",
"RNO.PA","2025-10-06","35.7","35.72","34.33","35.2","1508707","-0.5","-1.4","35.2375",
