symbol,date,open,high,low,close,volume,change,changePercent,vwap
"SAN.PA","2025-11-26","87.19","87.43","85.5","86.23","1598183","-0.96","-1.1","86.5875",
"SAN.PA","2025-11-25","86","87.57","85.13","86.39","2530813","0.39","0.45349","86.2725",
"SAN.PA","2025-11-24","86.8","86.87","85.38","85.95","2795567","-0.85","-0.97926","86.25",
"SAN.PA","2025-11-21","85.25","86.5","85.12","86.32","2095419","1.07","1.26","85.7975",
"SAN.PA","2025-11-20","86.41","86.66","85.32","85.32","2370262","-1.09","-1.26","85.9275",
"SAN.PA","2025-11-19","87.68","87.71","85.94","85.94","2481800","-1.74","-1.98","86.8175",
"SAN.PA","2025-11-18","89.29","89.69","87.07","87.58","2533837","-1.71","-1.92","88.4075",
"SAN.PA","2025-11-17","89.42","90.07","89.36","89.89","1054262","0.47","0.52561","89.685",
"SAN.PA","2025-11-14","89.92","90.28","89.22","89.59","1512508","-0.33","-0.36699","89.7525",
"SAN.PA","2025-11-13","90.13","90.79","89.24","90.44","1560576","0.31","0.34395","90.15",
"SAN.PA","2025-11-12","89.5","90.65","89.29","90.13","1816316","0.63","0.70391","89.8925",
"SAN.PA","2025-11-11","87.9","89.29","87.56","89.05","1071549","1.15","1.31","88.45",
"SAN.PA","2025-11-10","85.7","87.14","85.53","86.81","1147091","1.11","1.3","86.295",
"SAN.PA","2025-11-07","85.89","86.14","85.05","85.44","1047635","-0.45","-0.52393","85.63",
"SAN.PA","2025-11-06","85.59","85.78","84.87","85.61","1733455","0.02","0.02336722","85.4625",
"SAN.PA","2025-11-05","85.4","85.71","84.59","85.23","1539721","-0.17","-0.19906","85.2325",
"SAN.PA","2025-11-04","86.68","86.68","84.83","86.31","2213272","-0.37","-0.42686","86.125",
"SAN.PA","2025-11-03","87.84","88.04","86.94","86.94","1124261","-0.9","-1.02","87.44",
"SAN.PA","2025-10-31","88.9","88.9","87.54","87.6","1377327","-1.3","-1.46","88.235",
"SAN.PA","2025-10-30","87.79","88.73","87.31","88.07","1533772","0.28","0.31894","87.975",
"SAN.PA","2025-10-29","87.95","88.74","87.58","87.92","1390309","-0.03","-0.03411029","88.0475",
"SAN.PA","2025-10-28","88.25","89.2","86.83","87.25","1627336","-1","-1.13","87.8825",
"SAN.PA","2025-10-27","88.66","89.11","87.83","88.13","1643996","-0.53","-0.59779","88.4325",
"SAN.PA","2025-10-24","89","91.15","86.41","88.79","3057269","-0.21","-0.23596","88.8375",
"SAN.PA","2025-10-23","86.08","87.18","85.91","86.61","1508726","0.53","0.61571","86.445",
"SAN.PA","2025-10-22","85.85","87.07","85.35","86.72","2035855","0.87","1.01","86.2475",
"SAN.PA","2025-10-21","85.9","86.73","85.7","86.29","1756359","0.39","0.45402","86.155",
"SAN.PA","2025-10-20","86.23","86.58","85.39","86.58","1460368","0.35","0.40589","86.195",
"SAN.PA","2025-10-17","85.79","86.79","85.29","86.43","1663835","0.64","0.74601","86.075",
"SAN.PA","2025-10-16","84.28","86.33","84.28","86.33","2100008","2.05","2.43","85.305",
"SAN.PA","2025-10-15","83.7","84.59","83.51","84.28","1764908","0.58","0.69295","84.02",
"SAN.PA","2025-10-14","83.91","84.63","83.84","83.94","1465122","0.03","0.03575259","84.08",
"SAN.PA","2025-10-13","83.29","84.47","83.2","84.16","1212380","0.87","1.04","83.78",
"SAN.PA","2025-10-10","84.49","85.21","83.33","83.34","1492439","-1.15","-1.36","84.0925",
"SAN.PA","2025-10-09","83.9","85.27","83.67","84.82","1315219","0.92","1.1","84.415",
"SAN.PA","2025-10-08","84.69","84.97","84.1","84.59","1605703","-0.1","-0.11808","84.5875",
"SAN.PA","2025-10-07","84.95","85.34","84.29","84.84","1678564","-0.11","-0.12949","84.855",
"SAN.PA","2025-10-06","86.93","87.04","85.33","85.78","1604294","-1.15","-1.32","86.27",
"SAN.PA","2025-10-03","85.2","86.97","85.09","86.8","2638508","1.6","1.88","86.015",
"SAN.PA","2025-10-02","85.49","85.82","84.57","85.04","2511343","-0.45","-0.52638","85.23",
"SAN.PA","2025-10-01","81.11","85.18","80.29","85.18","4195397","4.07","5.02","82.94",
"SAN.PA","2025-09-30","78.14","78.55","76.15","78.55","3141515","0.41","0.5247","77.8475",
"SAN.PA","2025-09-29","78","78.51","77.5","78.28","2086637","0.28","0.35897","78.0725",
"SAN.PA","2025-09-26","77.08","78.49","76.95","78.32","2165228","1.24","1.61","77.71",
"SAN.PA","2025-09-25","79","79.26","77.44","77.52","2051728","-1.48","-1.87","78.305",
"SAN.PA","2025-09-24","79.67","79.93","79.22","79.5","1533901","-0.17","-0.21338","79.58",
"SAN.PA","2025-09-23","79.71","79.94","79.22","79.26","1512857","-0.45","-0.56455","79.5325",
"SAN.PA","2025-09-22","80.6","80.71","79.86","80.23","1302404","-0.37","-0.45906","80.35",
"SAN.PA","2025-09-19","80.8","81.72","80.46","80.46","4049907","-0.34","-0.42079","80.86",
"SAN.PA","2025-09-18","79.58","80.47","79.33","80.15","1637266","0.57","0.71626","79.8825",
"SAN.PA","2025-09-17","79.49","80.04","79","79.44","2000118","-0.05","-0.06290099","79.4925",
"SAN.PA","2025-09-16","79.1","79.69","78.28","78.84","1656369","-0.26","-0.3287","78.9775",
"SAN.PA","2025-09-15","80.26","80.84","79.51","79.51","1575394","-0.75","-0.93446","80.03",
"SAN.PA","2025-09-12","81.13","81.36","80.56","80.7","1457174","-0.43","-0.53001","80.9375",
"SAN.PA","2025-09-11","81.13","81.43","80.59","80.74","1240876","-0.39","-0.48071","80.9725",
"SAN.PA","2025-09-10","80.14","81.36","79.9","80.28","1514951","0.14","0.17469","80.42",
"SAN.PA","2025-09-09","79.69","81.05","79.54","80.77","2344074","1.08","1.36","80.2625",
"SAN.PA","2025-09-08","80.69","80.8","78.6","79.13","2007816","-1.56","-1.93","79.805",
"SAN.PA","2025-09-05","78.38","79.68","77.66","79.5","3360061","1.12","1.43","78.805",
"SAN.PA","2025-09-04","80","80.77","76.68","78.96","8715490","-1.04","-1.3","79.1025",
"SAN.PA","2025-09-03","85.39","86.12","84.91","86.12","2202444","0.73","0.8549","85.635",
"SAN.PA","2025-09-02","85.3","85.78","84.46","84.51","2494924","-0.79","-0.92614","85.0125",
"SAN.PA","2025-09-01","85.16","85.68","84.38","84.69","928152","-0.47","-0.5519","84.9775",
"SAN.PA","2025-08-29","85.28","85.37","84.37","84.49","2194208","-0.79","-0.92636","84.8775",
"SAN.PA","2025-08-28","86.21","86.6","85.28","85.36","1449383","-0.85","-0.98596","85.8625",
"SAN.PA","2025-08-27","86.35","87.17","86.27","86.54","1005962","0.19","0.22003","86.5825",
"SAN.PA","2025-08-26","85.84","87.52","85.76","86.28","2196699","0.44","0.51258","86.35",
"SAN.PA","2025-08-25","87.19","87.61","86.11","86.26","876888","-0.93","-1.07","86.7925",
"SAN.PA","2025-08-22","87.25","88.44","87.17","87.34","1361481","0.09","0.10315","87.55",
"SAN.PA","2025-08-21","86.5","87.49","86.46","87.47","1011711","0.97","1.12","86.98",
"SAN.PA","2025-08-20","86.43","87.84","86.39","87.03","1423441","0.6","0.6942","86.9225",
"SAN.PA","2025-08-19","85.41","87.03","85.41","86.49","1259118","1.08","1.26","86.085",
"SAN.PA","2025-08-18","85","85.7","84.67","85.58","1092719","0.58","0.68235","85.2375",
"SAN.PA","2025-08-15","84.4","85.4","84.4","84.95","1594147","0.55","0.65166","84.7875",
"SAN.PA","2025-08-14","83.06","83.63","82.79","83.54","1122271","0.48","0.5779","83.255",
"SAN.PA","2025-08-13","82.31","83.47","81.98","83.18","1631460","0.87","1.06","82.735",
"SAN.PA","2025-08-12","81.24","81.85","81.14","81.65","1418312","0.41","0.50468","81.47",
"SAN.PA","2025-08-11","81.23","81.82","81.02","81.34","1364955","0.11","0.13542","81.3525",
"SAN.PA","2025-08-08","82.73","82.77","79.7","80.93","2235532","-1.8","-2.18","81.5325",
"SAN.PA","2025-08-07","79.06","81.04","78.79","80.84","1814979","1.78","2.25","79.9325",
"SAN.PA","2025-08-06","82.6","82.63","79.67","79.67","2745313","-2.93","-3.55","81.1425",
"SAN.PA","2025-08-05","82.98","83.02","82.03","82.03","1522517","-0.95","-1.14","82.515",
"SAN.PA","2025-08-04","80.58","82","79.98","82","2175600","1.42","1.76","81.14",
"SAN.PA","2025-08-01","77.42","80.61","76.78","80.34","3746341","2.92","3.77","78.7875",
"SAN.PA","2025-07-31","84.7","84.93","78.38","78.84","5409420","-5.86","-6.92","81.7125",
