symbol,date,open,high,low,close,volume,change,changePercent,vwap
"SAP.DE","2025-11-26","205.5","206.95","203.65","206.7","1239164","1.2","0.58394","205.7",
"SAP.DE","2025-11-25","205.05","206.45","202.3","204.85","1286031","-0.2","-0.09753719","204.6625",
"SAP.DE","2025-11-24","207.65","209.55","206.25","207.5","2706084","-0.15","-0.07223694","207.7375",
"SAP.DE","2025-11-21","204","208.2","203.35","205","1520744","1","0.4902","205.1375",
"SAP.DE","2025-11-20","206.95","209.6","206.25","206.6","1092550","-0.35","-0.16912","207.35",
"SAP.DE","2025-11-19","205.2","207.55","203.75","205.5","1173122","0.3","0.1462","205.5",
"SAP.DE","2025-11-18","203.4","206.6","202.5","205.35","1354135","1.95","0.9587","204.4625",
"SAP.DE","2025-11-17","211.6","211.8","205.7","207","1334374","-4.6","-2.17","209.025",
"SAP.DE","2025-11-14","213.75","214.2","207.55","211.1","2184437","-2.65","-1.24","211.65",
"SAP.DE","2025-11-13","218.1","220.15","217.35","218.1","961985","0","0","218.425",
"SAP.DE","2025-11-12","219.35","220.4","218.15","218.4","1121213","-0.95","-0.4331","219.075",
"SAP.DE","2025-11-11","216.65","219","216.2","217.05","1024146","0.4","0.18463","217.225",
"SAP.DE","2025-11-10","218.75","220.05","216","216.25","1208040","-2.5","-1.14","217.7625",
"SAP.DE","2025-11-07","219.65","220","215.1","215.65","1495029","-4","-1.82","217.6",
"SAP.DE","2025-11-06","225.6","226.85","217.55","217.95","1263039","-7.65","-3.39","221.9875",
"SAP.DE","2025-11-05","224.95","229.95","223.75","227.95","944453","3","1.33","226.65",
"SAP.DE","2025-11-04","226","226.7","224","226.05","982932","0.05","0.02212389","225.6875",
"SAP.DE","2025-11-03","225.4","231.05","224.4","228.85","1081196","3.45","1.53","227.425",
"SAP.DE","2025-10-31","224.65","226.3","223.75","224.45","1209055","-0.2","-0.08902738","224.7875",
"SAP.DE","2025-10-30","224.3","227.6","223.65","225.85","1387271","1.55","0.69104","225.35",
"SAP.DE","2025-10-29","231.7","232.2","223.3","224.3","1934365","-7.4","-3.19","227.875",
"SAP.DE","2025-10-28","233.9","235.05","232.75","234.1","1130651","0.2","0.08550663","233.95",
"SAP.DE","2025-10-27","234","235.8","233.15","235.55","1155170","1.55","0.66239","234.625",
"SAP.DE","2025-10-24","241.25","241.3","233.35","233.35","1802588","-7.9","-3.27","237.3125",
"SAP.DE","2025-10-23","239.4","244.3","229.7","242","3172728","2.6","1.09","238.85",
"SAP.DE","2025-10-22","241.15","241.25","236.5","236.85","1752971","-4.3","-1.78","238.9375",
"SAP.DE","2025-10-21","238.15","241.25","236.35","240.4","1444043","2.25","0.94478","239.0375",
"SAP.DE","2025-10-20","233.8","239.6","232.9","238.6","1404631","4.8","2.05","236.225",
"SAP.DE","2025-10-17","229.25","232","227","230.95","1160814","1.7","0.74155","229.8",
"SAP.DE","2025-10-16","231.2","237.1","230.35","233.2","1149922","2","0.86505","232.9625",
"SAP.DE","2025-10-15","231.8","234.65","231.45","234.2","1102569","2.4","1.04","233.025",
"SAP.DE","2025-10-14","230.95","232.7","228.45","232.7","1319040","1.75","0.75774","231.2",
"SAP.DE","2025-10-13","231.8","233.75","229.65","231.4","738717","-0.4","-0.17256","231.65",
"SAP.DE","2025-10-10","238.8","239.1","230.55","230.55","1300885","-8.25","-3.45","234.75",
"SAP.DE","2025-10-09","239","239.35","235.05","237.8","926821","-1.2","-0.50209","237.8",
"SAP.DE","2025-10-08","235.45","239.25","234.65","237.2","1357884","1.75","0.74326","236.6375",
"SAP.DE","2025-10-07","233.95","236.4","233.1","235","1354466","1.05","0.44881","234.6125",
"SAP.DE","2025-10-06","230.4","232.6","229.05","231.6","735402","1.2","0.52083","230.9125",
"SAP.DE","2025-10-03","232.65","233","228.25","230.15","1072154","-2.5","-1.07","231.0125",
"SAP.DE","2025-10-02","227.6","233.6","226.45","232.1","1197910","4.5","1.98","229.9375",
"SAP.DE","2025-10-01","225.05","228.5","224.5","227.8","1257008","2.75","1.22","226.4625",
"SAP.DE","2025-09-30","225","228.6","224.5","227.9","1125092","2.9","1.29","226.5",
"SAP.DE","2025-09-29","225.55","226.1","222.95","225.55","950657","0","0","225.0375",
"SAP.DE","2025-09-26","225.55","225.65","221.9","225.15","1029898","-0.4","-0.17734","224.5625",
"SAP.DE","2025-09-25","228.85","229.35","222","225.2","1662331","-3.65","-1.59","226.35",
"SAP.DE","2025-09-24","225.8","232.85","224.5","228","2418550","2.2","0.97431","227.7875",
"SAP.DE","2025-09-23","225.6","227.6","224.7","226.2","1115327","0.6","0.26596","226.025",
"SAP.DE","2025-09-22","225.5","226.9","223.5","224.7","1360818","-0.8","-0.35477","225.15",
"SAP.DE","2025-09-19","227.15","229.65","227","227.55","5436865","0.4","0.1761","227.8375",
"SAP.DE","2025-09-18","223.9","229.9","222","229.5","2533588","5.6","2.5","226.325",
"SAP.DE","2025-09-17","215.25","220.2","214.3","217.7","2002327","2.45","1.14","216.8625",
"SAP.DE","2025-09-16","215","215.95","209.7","210.95","1757332","-4.05","-1.88","212.9",
"SAP.DE","2025-09-15","220.3","221.05","211.65","214.65","2246533","-5.65","-2.56","216.9125",
"SAP.DE","2025-09-12","219.9","221.8","219.2","220.9","1360689","1","0.45475","220.45",
"SAP.DE","2025-09-11","222","222.85","218.9","219.8","1974628","-2.2","-0.99099","220.8875",
"SAP.DE","2025-09-10","235","236.65","222.95","223.7","2344014","-11.3","-4.81","229.575",
"SAP.DE","2025-09-09","229.7","231.15","228.4","230.3","1058827","0.6","0.26121","229.8875",
"SAP.DE","2025-09-08","229.45","231.45","228.2","230.45","1277894","1","0.43582","229.8875",
"SAP.DE","2025-09-05","233.4","233.6","227.9","228.25","1272378","-5.15","-2.21","230.7875",
"SAP.DE","2025-09-04","231.9","235.15","231.6","233.2","871586","1.3","0.56059","232.9625",
"SAP.DE","2025-09-03","230.15","231.8","229.2","231.35","1031836","1.2","0.5214","230.625",
"SAP.DE","2025-09-02","232.4","233.25","227.25","227.25","1290152","-5.15","-2.22","230.0375",
