symbol,date,open,high,low,close,volume,change,changePercent,vwap
"SU.PA","2025-11-26","225.3","227.3","223.5","227.3","772474","2","0.88771","225.85",
"SU.PA","2025-11-25","223.5","225.3","221.25","223.75","913395","0.25","0.11186","223.45",
"SU.PA","2025-11-24","225.25","225.7","222.8","222.8","1668430","-2.45","-1.09","224.1375",
"SU.PA","2025-11-21","223.5","225.7","220.4","222.3","1176368","-1.2","-0.53691","222.975",
"SU.PA","2025-11-20","231.9","233.65","228.4","228.4","960711","-3.5","-1.51","230.5875",
"SU.PA","2025-11-19","225.55","230.1","225","227.2","687154","1.65","0.73155","226.9625",
"SU.PA","2025-11-18","227.25","229.5","224.25","226.55","1158475","-0.7","-0.30803","226.8875",
"SU.PA","2025-11-17","234.3","235.4","231.5","232","685097","-2.3","-0.98165","233.3",
"SU.PA","2025-11-14","232.25","235.65","230.5","235.65","881229","3.4","1.46","233.5125",
"SU.PA","2025-11-13","239.2","241.65","234.1","234.65","794214","-4.55","-1.9","237.4",
"SU.PA","2025-11-12","236.1","243","235.6","239.1","1009137","3","1.27","238.45",
"SU.PA","2025-11-11","233.25","236.6","233.25","235.1","671595","1.85","0.79314","234.55",
"SU.PA","2025-11-10","235.25","235.8","232.95","233.45","918364","-1.8","-0.76514","234.3625",
"SU.PA","2025-11-07","235.55","236.8","227.85","230.85","891876","-4.7","-2","232.7625",
"SU.PA","2025-11-06","236.95","241.05","234.1","235.15","1056801","-1.8","-0.75965","236.8125",
"SU.PA","2025-11-05","238.1","242.45","237.7","242.25","764528","4.15","1.74","240.125",
"SU.PA","2025-11-04","239.95","241.45","233.45","239.25","950996","-0.7","-0.29173","238.525",
"SU.PA","2025-11-03","246","246.95","242.65","244.35","713093","-1.65","-0.67073","244.9875",
"SU.PA","2025-10-31","245.5","249.45","244.5","246.1","696523","0.6","0.2444","246.3875",
"SU.PA","2025-10-30","249.35","253.55","244.5","249","1177091","-0.35","-0.14036","249.1",
"SU.PA","2025-10-29","256.85","258.85","255.4","257.4","534715","0.55","0.21413","257.125",
"SU.PA","2025-10-28","256.85","258.25","254.95","256.05","515738","-0.8","-0.31147","256.525",
"SU.PA","2025-10-27","258.65","259.6","256.3","258.75","705071","0.1","0.03866228","258.325",
"SU.PA","2025-10-24","251","253.75","249.35","253.65","512650","2.65","1.06","251.9375",
"SU.PA","2025-10-23","247.65","250.3","245.55","249.1","605130","1.45","0.5855","248.15",
"SU.PA","2025-10-22","248.25","258.15","244.25","246.55","1081964","-1.7","-0.68479","249.3",
"SU.PA","2025-10-21","248.4","250.25","247.05","249.75","461970","1.35","0.54348","248.8625",
"SU.PA","2025-10-20","248.25","249.1","246.55","248.25","558377","0","0","248.0375",
"SU.PA","2025-10-17","245.85","249.3","245.25","246.1","659544","0.25","0.10169","246.625",
"SU.PA","2025-10-16","250","252.35","246.15","252.35","764072","2.35","0.94","250.2125",
"SU.PA","2025-10-15","246.1","248.7","246","247.05","797296","0.95","0.38602","246.9625",
"SU.PA","2025-10-14","244.1","245.6","239.6","245.15","641665","1.05","0.43015","243.6125",
"SU.PA","2025-10-13","246.5","247.7","245.55","246.9","573034","0.4","0.16227","246.6625",
"SU.PA","2025-10-10","248.6","250.25","244.85","245.25","707372","-3.35","-1.35","247.2375",
"SU.PA","2025-10-09","250","251.5","248.55","249","642085","-1","-0.4","249.7625",
"SU.PA","2025-10-08","247.85","249.65","246.4","248.8","601629","0.95","0.3833","248.175",
"SU.PA","2025-10-07","248.5","250.25","245.45","245.9","708863","-2.6","-1.05","247.525",
"SU.PA","2025-10-06","248.25","254.65","246.2","250","1007419","1.75","0.70493","249.775",
"SU.PA","2025-10-03","252.5","252.8","247.65","249.7","882453","-2.8","-1.11","250.6625",
"SU.PA","2025-10-02","250","253.35","249.35","250.5","1215960","0.5","0.2","250.8",
"SU.PA","2025-10-01","239","245.75","236.55","244.85","1239746","5.85","2.45","241.5375",
"SU.PA","2025-09-30","234.65","238","233.45","237.6","1013795","2.95","1.26","235.925",
"SU.PA","2025-09-29","237.95","239","233.9","234.25","736657","-3.7","-1.55","236.275",
"SU.PA","2025-09-26","231.6","239.65","231.6","235.25","1225890","3.65","1.58","234.525",
"SU.PA","2025-09-25","232.25","232.8","227.8","231.05","720564","-1.2","-0.51668","230.975",
"SU.PA","2025-09-24","232.45","233.45","230.35","232.4","911144","-0.05","-0.02151","232.1625",
"SU.PA","2025-09-23","234.6","235.1","230.55","230.55","891741","-4.05","-1.73","232.7",
"SU.PA","2025-09-22","230.1","230.45","227.05","230","935042","-0.1","-0.04345937","229.4",
"SU.PA","2025-09-19","232.75","233.85","230.7","231.1","2140922","-1.65","-0.70892","232.1",
"SU.PA","2025-09-18","229.35","234.25","229.35","232.65","865341","3.3","1.44","231.4",
"SU.PA","2025-09-17","230","230.6","226.75","226.95","629440","-3.05","-1.33","228.575",
"SU.PA","2025-09-16","232.85","234.4","228.75","228.9","923944","-3.95","-1.7","231.225",
"SU.PA","2025-09-15","232.3","234.8","231","233.75","698026","1.45","0.62419","232.9625",
"SU.PA","2025-09-12","229.85","233.85","227.45","232","1101223","2.15","0.93539","230.7875",
"SU.PA","2025-09-11","229.1","232.35","227.45","229.65","1114134","0.55","0.24007","229.6375",
"SU.PA","2025-09-10","228.5","230.6","226.45","228.95","1245765","0.45","0.19694","228.625",
"SU.PA","2025-09-09","225.85","226.55","223.45","223.45","925146","-2.4","-1.06","224.825",
"SU.PA","2025-09-08","220","226.4","219.4","226.15","920696","6.15","2.8","222.9875",
"SU.PA","2025-09-05","218.75","220.35","217","218.3","973257","-0.45","-0.20571","218.6",
"SU.PA","2025-09-04","218.1","218.2","215.6","217.25","668631","-0.85","-0.38973","217.2875",
"SU.PA","2025-09-03","214.8","219.95","212.6","217.25","1119807","2.45","1.14","216.15",
"SU.PA","2025-09-02","215.7","216.85","210.5","211.1","905380","-4.6","-2.13","213.5375",
"SU.PA","2025-09-01","209.65","211.35","208.9","210.25","356860","0.6","0.28619","210.0375",
"SU.PA","2025-08-29","211","213.25","209.65","210.05","903490","-0.95","-0.45024","210.9875",
"SU.PA","2025-08-28","212.85","214.7","211","213.7","547542","0.85","0.39934","213.0625",
"SU.PA","2025-08-27","210.65","212.4","210.1","211.45","492087","0.8","0.37978","211.15",
"SU.PA","2025-08-26","210.9","211.95","209.45","210.8","1566988","-0.1","-0.04741584","210.775",
"SU.PA","2025-08-25","214.95","215.05","212.95","213.25","512010","-1.7","-0.79088","214.05",
"SU.PA","2025-08-22","213.3","216.3","213.3","215.4","727484","2.1","0.98453","214.575",
"SU.PA","2025-08-21","215.5","216.25","213.2","215","594728","-0.5","-0.23202","214.9875",
"SU.PA","2025-08-20","220.35","220.85","215.55","215.55","732975","-4.8","-2.18","218.075",
"SU.PA","2025-08-19","219.1","223.55","218.8","223.25","707953","4.15","1.89","221.175",
"SU.PA","2025-08-18","221","221.2","217.7","218.5","607211","-2.5","-1.13","219.6",
"SU.PA","2025-08-15","221.3","223.65","220.25","220.6","606114","-0.7","-0.31631","221.45",
"SU.PA","2025-08-14","218.05","222.1","218.05","222","713623","3.95","1.81","220.05",
"SU.PA","2025-08-13","222.5","222.55","218","218","921128","-4.5","-2.02","220.2625",
"SU.PA","2025-08-12","220","222.9","220","222.2","723358","2.2","1","221.275",
