symbol,date,open,high,low,close,volume,change,changePercent,vwap
"TTE.PA","2025-11-26","56.35","56.76","56.05","56.66","3913265","0.31","0.55013","56.455",
"TTE.PA","2025-11-25","56","56.31","55.55","56.17","3513354","0.17","0.30357","56.0075",
"TTE.PA","2025-11-24","55.8","56.24","55.32","55.89","10538741","0.09","0.16129","55.8125",
"TTE.PA","2025-11-21","54.75","56.04","54.34","55.97","4848056","1.22","2.23","55.275",
"TTE.PA","2025-11-20","55.95","56.14","55.52","55.67","3031513","-0.28","-0.50045","55.82",
"TTE.PA","2025-11-19","56.1","56.16","54.93","55.4","3525280","-0.7","-1.25","55.6475",
"TTE.PA","2025-11-18","55.87","55.99","55.07","55.47","4508769","-0.4","-0.71595","55.6",
"TTE.PA","2025-11-17","56.03","56.75","55.84","56.53","2660776","0.5","0.89238","56.2875",
"TTE.PA","2025-11-14","56.1","56.59","55.64","56.23","3110005","0.13","0.23173","56.14",
"TTE.PA","2025-11-13","55.4","56.25","55.35","56.19","3641626","0.79","1.43","55.7975",
"TTE.PA","2025-11-12","55.5","55.88","55.27","55.3","3829106","-0.2","-0.36036","55.4875",
"TTE.PA","2025-11-11","54.35","55.35","54.28","55.34","4113692","0.99","1.82","54.83",
"TTE.PA","2025-11-10","54.12","54.16","53.59","54.04","2783208","-0.08","-0.14782","53.9775",
"TTE.PA","2025-11-07","53.35","53.84","52.93","53.58","2738302","0.23","0.43112","53.425",
"TTE.PA","2025-11-06","53.03","53.48","52.93","53.24","3364968","0.21","0.396","53.17",
"TTE.PA","2025-11-05","53.38","53.89","53.34","53.68","2177639","0.3","0.56201","53.5725",
"TTE.PA","2025-11-04","53.36","53.6","52.48","53.6","3153172","0.24","0.44978","53.26",
"TTE.PA","2025-11-03","54.25","54.4","53.45","53.79","2656832","-0.46","-0.84793","53.9725",
"TTE.PA","2025-10-31","53.92","54.29","53.67","53.95","3199896","0.03","0.05563798","53.9575",
"TTE.PA","2025-10-30","53.35","53.71","52.4","53.64","4472925","0.29","0.54358","53.275",
"TTE.PA","2025-10-29","53.6","54.32","53.33","54.14","3320304","0.54","1.01","53.8475",
"TTE.PA","2025-10-28","53.16","53.84","53.15","53.48","2705823","0.32","0.60196","53.4075",
"TTE.PA","2025-10-27","53.8","53.86","53.29","53.77","2337239","-0.03","-0.05576208","53.68",
"TTE.PA","2025-10-24","53.6","53.99","53.55","53.91","2599111","0.31","0.57836","53.7625",
"TTE.PA","2025-10-23","54.55","54.68","53.76","54.1","4518429","-0.45","-0.82493","54.2725",
"TTE.PA","2025-10-22","53.38","53.59","52.61","53.03","4183059","-0.35","-0.65568","53.1525",
"TTE.PA","2025-10-21","52.48","52.85","52.43","52.65","2611141","0.17","0.32393","52.6025",
"TTE.PA","2025-10-20","52.61","52.83","52.24","52.5","2777249","-0.11","-0.20909","52.545",
"TTE.PA","2025-10-17","51.5","52.72","51.49","52.71","3278618","1.21","2.35","52.105",
"TTE.PA","2025-10-16","52.3","52.69","52.2","52.57","4124330","0.27","0.51625","52.44",
"TTE.PA","2025-10-15","50.85","52.28","50.83","52.11","7152342","1.26","2.48","51.5175",
"TTE.PA","2025-10-14","49.65","50.36","49.24","50.25","5385939","0.605","1.21","49.875",
"TTE.PA","2025-10-13","50.24","50.3","49.72","49.85","3208451","-0.395","-0.77627","50.0275",
"TTE.PA","2025-10-10","50.73","51.01","49.84","50","5389547","-0.73","-1.44","50.395",
"TTE.PA","2025-10-09","51.18","51.67","51.09","51.14","2379680","-0.04","-0.07815553","51.27",
"TTE.PA","2025-10-08","51.04","51.27","50.75","51.12","3066054","0.08","0.15674","51.045",
"TTE.PA","2025-10-07","51.7","51.75","50.51","50.87","3259107","-0.83","-1.61","51.2075",
"TTE.PA","2025-10-06","51.24","51.47","50.49","51.31","4282715","0.07","0.13661","51.1275",
"TTE.PA","2025-10-03","50.98","51.3","50.85","51.06","3853876","0.08","0.15692","51.0475",
"TTE.PA","2025-10-02","51.54","51.82","50.98","50.98","4242828","-0.56","-1.09","51.33",
"TTE.PA","2025-10-01","51.05","51.67","51","51.59","5920830","0.54","1.06","51.3275",
"TTE.PA","2025-09-30","52.53","52.58","51.16","51.73","8795075","-0.8","-1.52","52",
"TTE.PA","2025-09-29","53.91","54.2","52.95","53.05","4418379","-0.86","-1.6","53.5275",
"TTE.PA","2025-09-26","53.69","54.35","53.58","54.25","4245988","0.56","1.04","53.9675",
"TTE.PA","2025-09-25","53.05","53.54","52.7","53.38","3700019","0.33","0.62205","53.1675",
"TTE.PA","2025-09-24","52.34","53.69","52.25","53.5","5735122","1.16","2.22","52.945",
"TTE.PA","2025-09-23","51.57","52.76","51.55","52.39","4933219","0.82","1.59","52.0675",
"TTE.PA","2025-09-22","51.56","52.03","51.48","51.73","3332215","0.17","0.32971","51.7",
"TTE.PA","2025-09-19","52.12","52.39","51.57","51.57","17761511","-0.55","-1.06","51.9125",
"TTE.PA","2025-09-18","51.63","52.27","51.49","52.03","4429620","0.4","0.77474","51.855",
"TTE.PA","2025-09-17","52.4","52.62","51.62","51.73","3757838","-0.67","-1.28","52.0925",
"TTE.PA","2025-09-16","52.6","52.78","52.01","52.43","2904306","-0.17","-0.32319","52.455",
"TTE.PA","2025-09-15","52.31","53","52.31","52.58","2842816","0.27","0.51615","52.55",
"TTE.PA","2025-09-12","51.82","52.47","51.62","52.12","3996517","0.3","0.57893","52.0075",
"TTE.PA","2025-09-11","53.06","53.23","52.03","52.19","3667638","-0.87","-1.64","52.6275",
"TTE.PA","2025-09-10","52.68","52.92","52.29","52.76","2560324","0.08","0.15186","52.6625",
"TTE.PA","2025-09-09","52.06","52.95","52.06","52.74","2798826","0.68","1.31","52.4525",
