symbol,date,open,high,low,close,volume,change,changePercent,vwap
"VOE.VI","2025-11-26","36.86","37.68","36.46","37.68","546916","0.82","2.22","37.17",
"VOE.VI","2025-11-25","35.64","36.76","35.52","36.76","585683","1.12","3.14","36.17",
"VOE.VI","2025-11-24","35","36","34.74","36","728796","1","2.86","35.435",
"VOE.VI","2025-11-21","33.88","34.52","33.76","34.28","231543","0.4","1.18","34.11",
"VOE.VI","2025-11-20","34.84","35.2","34.42","34.92","339407","0.08","0.22962","34.845",
"VOE.VI","2025-11-19","33.7","35","33.6","34.86","456241","1.16","3.44","34.29",
"VOE.VI","2025-11-18","33.98","34.04","33.46","33.94","326683","-0.04","-0.11772","33.855",
"VOE.VI","2025-11-17","34.58","35","34.52","34.74","446393","0.16","0.4627","34.71",
"VOE.VI","2025-11-14","34.46","34.46","33.4","34.44","320657","-0.02","-0.05803831","34.19",
"VOE.VI","2025-11-13","34","34.88","33.64","34.8","570629","0.8","2.35","34.33",
"VOE.VI","2025-11-12","33","34.78","33","34.78","798172","1.78","5.39","33.89",
"VOE.VI","2025-11-11","32.16","32.2","31.8","32.18","202820","0.02","0.06218905","32.085",
"VOE.VI","2025-11-10","32.3","32.56","32.14","32.32","244555","0.02","0.0619195","32.33",
"VOE.VI","2025-11-07","31.78","32.7","31.6","32.34","490458","0.56","1.76","32.105",
"VOE.VI","2025-11-06","30.02","31.4","30.02","31.14","228076","1.12","3.73","30.645",
"VOE.VI","2025-11-05","29.84","30.42","29.84","30.36","198596","0.52","1.74","30.115",
"VOE.VI","2025-11-04","30.2","30.48","29.2","30.32","312003","0.12","0.39735","30.05",
"VOE.VI","2025-11-03","30.52","30.98","30.5","30.8","138607","0.28","0.91743","30.7",
"VOE.VI","2025-10-31","30.88","31.12","30.74","30.88","175416","0","0","30.905",
"VOE.VI","2025-10-30","30.68","31.28","30.64","31.12","229268","0.44","1.43","30.93",
"VOE.VI","2025-10-29","31.6","31.78","30.8","30.8","302444","-0.8","-2.53","31.245",
"VOE.VI","2025-10-28","31.38","31.9","31.2","31.82","146127","0.44","1.4","31.575",
"VOE.VI","2025-10-27","31.46","31.6","31.2","31.6","123201","0.14","0.44501","31.465",
"VOE.VI","2025-10-24","31.34","31.38","30.84","31.38","184433","0.04","0.12763","31.235",
"VOE.VI","2025-10-23","31.38","31.76","31.06","31.28","239273","-0.1","-0.31867","31.37",
"VOE.VI","2025-10-22","31","31.58","30.66","31.58","190411","0.58","1.87","31.205",
"VOE.VI","2025-10-21","31.32","31.64","30.56","31.16","255082","-0.16","-0.51086","31.17",
"VOE.VI","2025-10-20","31.1","31.52","30.98","31.52","139180","0.42","1.35","31.28",
"VOE.VI","2025-10-17","30.94","31.32","30.6","31.12","310422","0.18","0.58177","30.995",
"VOE.VI","2025-10-16","31.9","32","31.2","31.66","230521","-0.24","-0.75235","31.69",
"VOE.VI","2025-10-15","32.5","32.76","30.74","32.18","380490","-0.32","-0.98462","32.045",
"VOE.VI","2025-10-14","32.9","32.94","32.02","32.28","342474","-0.62","-1.88","32.535",
"VOE.VI","2025-10-13","32","33.3","31.82","33.24","390895","1.24","3.88","32.59",
"VOE.VI","2025-10-10","33.2","33.6","32.04","32.26","345083","-0.94","-2.83","32.775",
"VOE.VI","2025-10-09","33.26","34.1","32.98","33.56","439211","0.3","0.90198","33.475",
"VOE.VI","2025-10-08","32.72","33.48","32.46","33.3","583511","0.58","1.77","32.99",
"VOE.VI","2025-10-07","33","33.16","32.22","32.58","378580","-0.42","-1.27","32.74",
"VOE.VI","2025-10-06","32.48","33.22","32.42","33.18","418484","0.7","2.16","32.825",
"VOE.VI","2025-10-03","31.72","32.94","31.72","32.94","414259","1.22","3.85","32.33",
"VOE.VI","2025-10-02","31.5","32.5","31.42","32.16","519738","0.66","2.1","31.895",
"VOE.VI","2025-10-01","30.08","32.2","29.78","32.2","775191","2.12","7.05","31.065",
"VOE.VI","2025-09-30","30","30.38","29.42","30.38","298437","0.38","1.27","30.045",
"VOE.VI","2025-09-29","30","30.26","29.72","30.26","281558","0.26","0.86667","30.06",
"VOE.VI","2025-09-26","29.22","30","29.22","30","546590","0.78","2.67","29.61",
"VOE.VI","2025-09-25","29","29.14","28.68","29.04","150316","0.04","0.13793","28.965",
"VOE.VI","2025-09-24","29","29.22","28.64","29","160056","0","0","28.965",
"VOE.VI","2025-09-23","29.1","29.42","29.04","29.04","219444","-0.06","-0.20619","29.15",
"VOE.VI","2025-09-22","29.5","29.54","29","29.3","217962","-0.2","-0.67797","29.335",
"VOE.VI","2025-09-19","28.82","29.78","28.82","29.78","599403","0.96","3.33","29.3",
"VOE.VI","2025-09-18","28.92","29.2","28.66","29.04","247185","0.12","0.41494","28.955",
"VOE.VI","2025-09-17","28.82","29.14","28.72","29","437561","0.18","0.62457","28.92",
"VOE.VI","2025-09-16","28.8","29.5","28.36","28.86","399292","0.06","0.20833","28.88",
"VOE.VI","2025-09-15","28.7","28.9","28.48","28.78","205473","0.08","0.27875","28.715",
"VOE.VI","2025-09-12","28.58","29","28.4","28.9","299315","0.32","1.12","28.72",
"VOE.VI","2025-09-11","28.2","28.8","28.2","28.78","161471","0.58","2.06","28.495",
"VOE.VI","2025-09-10","28.34","28.6","27.96","28.4","149675","0.06","0.21171","28.325",
"VOE.VI","2025-09-09","28.9","28.96","28.34","28.36","150530","-0.54","-1.87","28.64",
"VOE.VI","2025-09-08","28.6","29.06","28.56","29.06","177529","0.46","1.61","28.82",
"VOE.VI","2025-09-05","28.3","29.08","28.3","28.6","254815","0.3","1.06","28.57",
"VOE.VI","2025-09-04","27.9","28.24","27.82","28.16","113166","0.26","0.9319","28.03",
"VOE.VI","2025-09-03","28.18","28.4","27.82","28.04","181946","-0.14","-0.49681","28.11",
"VOE.VI","2025-09-02","28.48","28.62","27.68","28.08","208818","-0.4","-1.4","28.215",
"VOE.VI","2025-09-01","28.12","28.68","28.04","28.68","187925","0.56","1.99","28.38",
"VOE.VI","2025-08-29","28.5","28.64","27.6","28.3","212136","-0.2","-0.70175","28.26",
"VOE.VI","2025-08-28","28.3","28.7","28.28","28.48","171864","0.18","0.63604","28.44",
"VOE.VI","2025-08-27","28.42","28.66","28.1","28.36","193544","-0.06","-0.21112","28.385",
"VOE.VI","2025-08-26","28.2","28.66","28.12","28.54","301178","0.34","1.21","28.38",
"VOE.VI","2025-08-25","28.16","28.64","27.96","28.58","242699","0.42","1.49","28.335",
"VOE.VI","2025-08-22","27.9","28.48","27.8","28.2","372902","0.3","1.08","28.095",
"VOE.VI","2025-08-21","27.96","28.24","27.52","28.16","252167","0.2","0.71531","27.97",
"VOE.VI","2025-08-20","27.96","28.26","27","28.24","228166","0.28","1","27.865",
"VOE.VI","2025-08-19","27","28.64","27","28.32","461488","1.32","4.89","27.74",
"VOE.VI","2025-08-18","26.78","27.36","26.6","27.26","316334","0.48","1.79","27",
"VOE.VI","2025-08-15","26.8","27.36","26.78","27.3","241025","0.5","1.87","27.06",
"VOE.VI","2025-08-14","26.62","26.86","26.44","26.82","236133","0.2","0.75131","26.685",
"VOE.VI","2025-08-13","26.6","26.62","26.2","26.62","109873","0.02","0.07518797","26.51",
"VOE.VI","2025-08-12","26.46","26.76","26.18","26.76","145549","0.3","1.13","26.54",
"VOE.VI","2025-08-11","26.66","26.82","26.26","26.56","255765","-0.1","-0.37509","26.575",
"VOE.VI","2025-08-08","25.84","26.88","25.82","26.82","457485","0.98","3.79","26.34",
"VOE.VI","2025-08-07","24.8","26.36","24.8","25.66","702567","0.86","3.47","25.405",
"VOE.VI","2025-08-06","23.46","25.18","23.46","24.84","582604","1.38","5.88","24.235",
"VOE.VI","2025-08-05","23.6","23.66","23.24","23.28","290150","-0.32","-1.36","23.445",
"VOE.VI","2025-08-04","23.64","23.98","23.38","23.52","186120","-0.12","-0.50761","23.63",
"VOE.VI","2025-08-01","23.84","24.02","23.48","23.8","225950","-0.04","-0.16779","23.785",
"VOE.VI","2025-07-31","24.6","24.6","23.72","24.22","354370","-0.38","-1.54","24.285",
"VOE.VI","2025-07-30","24.98","25.04","24.6","24.68","93588","-0.3","-1.2","24.825",
"VOE.VI","2025-07-29","25","25.16","24.8","25.08","158254","0.08","0.32","25.01",
"VOE.VI","2025-07-28","25.24","25.5","24.8","25.14","196676","-0.1","-0.3962","25.17",
"VOE.VI","2025-07-25","24.8","25.08","24.58","25.08","132377","0.28","1.13","24.885",
"VOE.VI","2025-07-24","25.1","25.2","24.72","24.94","154059","-0.16","-0.63745","24.99",
"VOE.VI","2025-07-23","25.2","25.4","24.84","25.08","161085","-0.12","-0.47619","25.13",
"VOE.VI","2025-07-22","25.22","25.42","24.9","25.14","159258","-0.08","-0.31721","25.17",
"VOE.VI","2025-07-21","24.44","25.48","24.44","25.38","497756","0.94","3.85","24.935",
"VOE.VI","2025-07-18","24.1","24.66","24.1","24.5","265396","0.4","1.66","24.34",
"VOE.VI","2025-07-17","24.4","24.9","24.2","24.66","151439","0.26","1.07","24.54",
"VOE.VI","2025-07-16","24.38","24.5","24.2","24.3","189278","-0.08","-0.32814","24.345",
"VOE.VI","2025-07-15","24.96","25.1","24.54","24.7","175545","-0.26","-1.04","24.825",
"VOE.VI","2025-07-14","25","25.32","23.1","24.96","388477","-0.04","-0.16","24.595",
"VOE.VI","2025-07-11","25.48","25.64","25.2","25.5","338215","0.02","0.07849294","25.455",
"VOE.VI","2025-07-10","24.74","25.9","24.68","25.78","506964","1.04","4.2","25.275",
"VOE.VI","2025-07-09","24.4","25.44","24.28","25.38","565542","0.98","4.02","24.875",
"VOE.VI","2025-07-08","23.88","24.68","23.8","24.46","382408","0.58","2.43","24.205",
"VOE.VI","2025-07-07","23.5","23.76","23.3","23.62","157286","0.12","0.51064","23.545",
"VOE.VI","2025-07-04","23.54","23.54","23.22","23.46","153488","-0.08","-0.33985","23.44",
"VOE.VI","2025-07-03","24.12","24.2","23.44","23.58","213248","-0.54","-2.24","23.835",
"VOE.VI","2025-07-02","23.44","24.22","23.44","23.9","313283","0.46","1.96","23.75",
"VOE.VI","2025-07-01","23.8","23.9","22.94","23.42","428535","-0.38","-1.6","23.515",
"VOE.VI","2025-06-30","24.22","24.44","23.86","23.9","288593","-0.32","-1.32","24.105",
