symbol,date,open,high,low,close,volume,change,changePercent,vwap
"VOW3.DE","2025-11-26","97.04","97.12","95.96","97.06","628896","0.02","0.02061006","96.795",
"VOW3.DE","2025-11-25","95.1","97.74","94.56","97.2","634649","2.1","2.21","96.15",
"VOW3.DE","2025-11-24","95.3","96.38","94.74","95.56","751759","0.26","0.27282","95.495",
"VOW3.DE","2025-11-21","92.56","95.32","92.1","94.72","961403","2.16","2.33","93.675",
"VOW3.DE","2025-11-20","94.68","95.02","92.98","93.76","589376","-0.92","-0.97169","94.11",
"VOW3.DE","2025-11-19","94.2","95.16","93.78","94.78","555410","0.58","0.61571","94.48",
"VOW3.DE","2025-11-18","95","95.4","93.7","94.7","940297","-0.3","-0.31579","94.7",
"VOW3.DE","2025-11-17","97.2","98.18","96.16","96.36","574445","-0.84","-0.8642","96.975",
"VOW3.DE","2025-11-14","98.3","98.84","96.52","97.66","959612","-0.64","-0.65107","97.83",
"VOW3.DE","2025-11-13","99.12","100.1","98.44","98.98","654369","-0.14","-0.14124","99.16",
"VOW3.DE","2025-11-12","98.34","99.98","98.34","98.6","1299091","0.26","0.26439","98.815",
"VOW3.DE","2025-11-11","95.82","97.92","95.3","97.64","875329","1.82","1.9","96.67",
"VOW3.DE","2025-11-10","95.4","96.08","94.98","95.7","683067","0.3","0.31447","95.54",
"VOW3.DE","2025-11-07","93.62","95.32","93.6","94.22","1045857","0.6","0.64089","94.19",
"VOW3.DE","2025-11-06","93.4","94.14","92.82","92.82","643171","-0.58","-0.62099","93.295",
"VOW3.DE","2025-11-05","90.32","93.88","89.9","93.4","1049850","3.08","3.41","91.875",
"VOW3.DE","2025-11-04","91.5","91.52","90.3","91.18","569344","-0.32","-0.34973","91.125",
"VOW3.DE","2025-11-03","90.28","92.98","90.26","92.3","862197","2.02","2.24","91.455",
"VOW3.DE","2025-10-31","90.58","91.08","89.82","90.22","813680","-0.36","-0.39744","90.425",
"VOW3.DE","2025-10-30","92.02","94.1","90.06","90.24","1327554","-1.78","-1.93","91.605",
"VOW3.DE","2025-10-29","91.76","93.1","91.3","92","1182664","0.24","0.26155","92.04",
"VOW3.DE","2025-10-28","90.56","91.92","90.4","91.44","597573","0.88","0.97173","91.08",
"VOW3.DE","2025-10-27","91","91.66","90.26","91.36","766519","0.36","0.3956","91.07",
"VOW3.DE","2025-10-24","89.68","90.52","89.12","90.52","739697","0.84","0.93666","89.96",
"VOW3.DE","2025-10-23","88.82","90.26","88.46","89.36","1009971","0.54","0.60797","89.225",
"VOW3.DE","2025-10-22","90.78","90.78","89.02","89.3","1127069","-1.48","-1.63","89.97",
"VOW3.DE","2025-10-21","91.82","91.88","90.24","91.3","1048072","-0.52","-0.56633","91.31",
"VOW3.DE","2025-10-20","91","91.62","90.02","91.62","597985","0.62","0.68132","91.065",
"VOW3.DE","2025-10-17","89.2","91.66","88.52","91.2","1318044","2","2.24","90.145",
"VOW3.DE","2025-10-16","90.66","90.72","89.34","89.94","718718","-0.72","-0.79418","90.165",
"VOW3.DE","2025-10-15","90.9","91.04","89.68","90.2","580308","-0.7","-0.77008","90.455",
"VOW3.DE","2025-10-14","89.44","91.22","89.18","90.08","832970","0.64","0.71556","89.98",
"VOW3.DE","2025-10-13","90.02","90.46","89.04","89.04","952309","-0.98","-1.09","89.64",
"VOW3.DE","2025-10-10","92","92.2","88.34","89.16","1189983","-2.84","-3.09","90.425",
"VOW3.DE","2025-10-09","91.5","92.48","91","91","865809","-0.5","-0.54645","91.495",
"VOW3.DE","2025-10-08","91.74","92.28","90.52","91.32","1165942","-0.42","-0.45782","91.465",
"VOW3.DE","2025-10-07","92.98","94.56","92","93.04","912303","0.06","0.06453001","93.145",
"VOW3.DE","2025-10-06","93.5","93.92","92.46","92.86","556399","-0.64","-0.68449","93.185",
"VOW3.DE","2025-10-03","93.84","94.14","92.78","93.28","475409","-0.56","-0.59676","93.51",
"VOW3.DE","2025-10-02","93.54","94.42","93.18","93.4","922297","-0.14","-0.14967","93.635",
"VOW3.DE","2025-10-01","91.3","93.82","91.24","92.92","765813","1.62","1.77","92.32",
"VOW3.DE","2025-09-30","91.74","92.06","90.96","91.96","667701","0.22","0.23981","91.68",
"VOW3.DE","2025-09-29","91.12","92.16","90.7","91.76","620222","0.64","0.70237","91.435",
"VOW3.DE","2025-09-26","92.3","92.58","90.42","90.62","1632967","-1.68","-1.82","91.48",
"VOW3.DE","2025-09-25","93.54","95.5","92.02","92.22","1077612","-1.32","-1.41","93.32",
"VOW3.DE","2025-09-24","92.6","94.9","91.14","93.12","1279762","0.52","0.56156","92.94",
"VOW3.DE","2025-09-23","91.36","94.02","91.08","93.22","1607926","1.86","2.04","92.42",
"VOW3.DE","2025-09-22","94.64","94.96","89.16","90.38","4373182","-4.26","-4.5","92.285",
"VOW3.DE","2025-09-19","96.92","98.78","96.86","97.28","1340164","0.36","0.37144","97.46",
"VOW3.DE","2025-09-18","98.9","99.1","96.76","97.46","1107615","-1.44","-1.46","98.055",
"VOW3.DE","2025-09-17","100","100.7","97.88","99.04","904532","-0.96","-0.96","99.405",
"VOW3.DE","2025-09-16","101.35","101.5","99.72","99.9","838778","-1.45","-1.43","100.6175",
"VOW3.DE","2025-09-15","102.4","102.7","100.95","101.4","486024","-1","-0.97656","101.8625",
"VOW3.DE","2025-09-12","102.75","102.95","100.6","102","694658","-0.75","-0.72993","102.075",
"VOW3.DE","2025-09-11","101.35","102.95","99.98","102.8","1092710","1.45","1.43","101.77",
"VOW3.DE","2025-09-10","102.55","102.6","100.8","101.4","703673","-1.15","-1.12","101.8375",
"VOW3.DE","2025-09-09","102.8","103.85","101.25","102.55","1305614","-0.25","-0.24319","102.6125",
"VOW3.DE","2025-09-08","100.05","102.6","100.05","102.6","1259297","2.55","2.55","101.325",
"VOW3.DE","2025-09-05","99.92","101.05","99.8","99.92","816335","0","0","100.1725",
"VOW3.DE","2025-09-04","98.7","99.96","98.46","99.1","636912","0.4","0.40527","99.055",
"VOW3.DE","2025-09-03","99.2","100","99","99.04","791828","-0.16","-0.16129","99.31",
"VOW3.DE","2025-09-02","100","100.15","98.1","98.5","893646","-1.5","-1.5","99.1875",
"VOW3.DE","2025-09-01","99.82","100.25","99.48","99.98","403235","0.16","0.16029","99.8825",
"VOW3.DE","2025-08-29","99.66","100.15","98.32","99.58","984404","-0.08","-0.08027293","99.4275",
"VOW3.DE","2025-08-28","100.95","101.95","100","100.25","748844","-0.7","-0.69341","100.7875",
"VOW3.DE","2025-08-27","101.9","102.75","100.1","100.35","863146","-1.55","-1.52","101.275",
"VOW3.DE","2025-08-26","100.95","102.45","100.9","101.45","942150","0.5","0.49529","101.4375",
"VOW3.DE","2025-08-25","102.2","102.4","101.4","101.65","583637","-0.55","-0.53816","101.9125",
"VOW3.DE","2025-08-22","100.95","102.8","100.75","102.4","1022401","1.45","1.44","101.725",
"VOW3.DE","2025-08-21","101","101.4","100.65","101.05","590879","0.05","0.04950495","101.025",
"VOW3.DE","2025-08-20","100.45","101.25","99.84","101.2","786213","0.75","0.74664","100.685",
"VOW3.DE","2025-08-19","98.78","101.25","98.64","100.9","1239746","2.12","2.15","99.8925",
"VOW3.DE","2025-08-18","99","99.34","97.98","98.88","836029","-0.12","-0.12121","98.8",
"VOW3.DE","2025-08-15","99.6","100.45","99.42","99.42","1307578","-0.18","-0.18072","99.7225",
"VOW3.DE","2025-08-14","98.48","99.1","98.24","98.86","536571","0.38","0.38587","98.67",
"VOW3.DE","2025-08-13","97.78","98.92","97.12","98.66","824790","0.88","0.89998","98.12",
"VOW3.DE","2025-08-12","96.96","98.24","96.64","97.86","883724","0.9","0.92822","97.425",
"VOW3.DE","2025-08-11","96","96.92","95.9","96.76","747910","0.76","0.79167","96.395",
"VOW3.DE","2025-08-08","93.76","95.74","93.6","95.38","1105317","1.62","1.73","94.62",
"VOW3.DE","2025-08-07","91.28","93.94","90.48","93.26","962648","1.98","2.17","92.24",
"VOW3.DE","2025-08-06","90.74","92.02","90.54","91.06","716169","0.32","0.35266","91.09",
"VOW3.DE","2025-08-05","89.1","90.72","88.76","90.3","850993","1.2","1.35","89.72",
"VOW3.DE","2025-08-04","89.62","89.78","88.26","88.68","835263","-0.94","-1.05","89.085",
"VOW3.DE","2025-08-01","91.66","91.66","88.96","89.16","1292949","-2.5","-2.73","90.36",
"VOW3.DE","2025-07-31","93.2","93.74","91.72","92.12","1019372","-1.08","-1.16","92.695",
"VOW3.DE","2025-07-30","95.4","95.68","93.54","93.6","1060362","-1.8","-1.89","94.555",
"VOW3.DE","2025-07-29","96.4","96.86","95.06","95.52","1374628","-0.88","-0.91286","95.96",
"VOW3.DE","2025-07-28","102.2","103.2","95.84","96.76","2151828","-5.44","-5.32","99.5",
"VOW3.DE","2025-07-25","93.9","100.35","93.12","100.35","4145335","6.45","6.87","96.93",
"VOW3.DE","2025-07-24","97.06","97.3","95.14","95.98","1294943","-1.08","-1.11","96.37",
"VOW3.DE","2025-07-23","92.88","96.1","92.62","95.52","2658102","2.64","2.84","94.28",
"VOW3.DE","2025-07-22","90.42","90.6","89.36","89.98","717943","-0.44","-0.48662","90.09",
"VOW3.DE","2025-07-21","89.86","91.12","89.42","90.82","725022","0.96","1.07","90.305",
"VOW3.DE","2025-07-18","90.7","91.26","90.02","90.32","733084","-0.38","-0.41896","90.575",
"VOW3.DE","2025-07-17","90.7","91.82","90.28","90.6","986185","-0.1","-0.11025","90.85",
"VOW3.DE","2025-07-16","91.86","92.36","89.52","90.12","1852896","-1.74","-1.89","90.965",
"VOW3.DE","2025-07-15","92.6","93.8","92.6","93.54","628123","0.94","1.02","93.135",
"VOW3.DE","2025-07-14","92.3","92.92","91.94","92.2","924499","-0.1","-0.10834","92.34",
"VOW3.DE","2025-07-11","93.8","94.26","92.6","93.98","763913","0.18","0.1919","93.66",
"VOW3.DE","2025-07-10","92.8","94.42","92.58","94.06","938959","1.26","1.36","93.465",
"VOW3.DE","2025-07-09","91.4","93.44","90.3","92.68","975616","1.28","1.4","91.955",
"VOW3.DE","2025-07-08","90.34","91.7","89.48","91.26","767835","0.92","1.02","90.695",
"VOW3.DE","2025-07-07","89.8","90.46","89.3","90.12","449092","0.32","0.35635","89.92",
"VOW3.DE","2025-07-04","90.6","90.8","89.46","90.02","622736","-0.58","-0.64018","90.22",
"VOW3.DE","2025-07-03","92.02","92.38","90.74","91.1","593824","-0.92","-0.99978","91.56",
"VOW3.DE","2025-07-02","90.16","92.02","89.48","90.94","990911","0.78","0.86513","90.65",
"VOW3.DE","2025-07-01","89.24","89.4","87.9","89.26","739344","0.02","0.02241147","88.95",
"VOW3.DE","2025-06-30","91.56","91.86","89.3","89.62","849819","-1.94","-2.12","90.585",
"VOW3.DE","2025-06-27","89.02","92","88.44","91.34","1240289","2.32","2.61","90.2",
"VOW3.DE","2025-06-26","90.04","90.2","87.66","87.92","1513159","-2.12","-2.35","88.955",
"VOW3.DE","2025-06-25","90.56","90.62","89.14","89.26","738853","-1.3","-1.44","89.895",
"VOW3.DE","2025-06-24","88.9","90.48","88.76","90.14","1130384","1.24","1.39","89.57",
"VOW3.DE","2025-06-23","86.7","87.46","86.24","87.04","512425","0.34","0.39216","86.86",
"VOW3.DE","2025-06-20","86.96","88.22","86.96","87.3","2130980","0.34","0.39098","87.36",
"VOW3.DE","2025-06-19","87.06","87.62","86.3","86.54","753772","-0.52","-0.59729","86.88",
"VOW3.DE","2025-06-18","88.14","88.26","87.12","87.7","613259","-0.44","-0.49921","87.805",
"VOW3.DE","2025-06-17","88.98","89.82","88.34","88.46","659899","-0.52","-0.5844","88.9",
"VOW3.DE","2025-06-16","89","89.98","88.94","89.3","669007","0.3","0.33708","89.305",
"VOW3.DE","2025-06-13","89.14","89.5","88.34","88.84","974116","-0.3","-0.33655","88.955",
"VOW3.DE","2025-06-12","90.62","91.56","89.96","90.88","822043","0.26","0.28691","90.755",
"VOW3.DE","2025-06-11","93.44","93.48","91.34","91.66","877942","-1.78","-1.9","92.48",
"VOW3.DE","2025-06-10","92.38","92.96","91.14","92.62","809279","0.24","0.2598","92.275",
"VOW3.DE","2025-06-09","91.4","91.9","91.04","91.56","609904","0.16","0.17505","91.475",
"VOW3.DE","2025-06-06","92.62","93.16","91.26","91.64","1077839","-0.98","-1.06","92.17",
"VOW3.DE","2025-06-05","93.74","94.08","92.02","93.24","710927","-0.5","-0.53339","93.27",
"VOW3.DE","2025-06-04","94.22","94.72","93.08","93.4","573953","-0.82","-0.8703","93.855",
"VOW3.DE","2025-06-03","93.56","94.1","92.26","94.1","631076","0.54","0.57717","93.505",
"VOW3.DE","2025-06-02","94.8","94.8","93.18","93.5","888360","-1.3","-1.37","94.07",
"VOW3.DE","2025-05-30","95.6","96.78","95.18","95.36","1084730","-0.24","-0.25105","95.73",
"VOW3.DE","2025-05-29","97.62","98.08","95.3","95.82","893500","-1.8","-1.84","96.705",
"VOW3.DE","2025-05-28","95.24","98.6","95.24","96.54","1756868","1.3","1.36","96.405",
"VOW3.DE","2025-05-27","95.82","96.48","95.44","95.44","549325","-0.38","-0.39658","95.795",
"VOW3.DE","2025-05-26","95.34","95.94","94.46","95.82","758985","0.48","0.50346","95.39",
"VOW3.DE","2025-05-23","96.1","97.26","92.52","93.5","1753477","-2.6","-2.71","94.845",
"VOW3.DE","2025-05-22","96.58","97.3","95.88","96.4","660829","-0.18","-0.18637","96.54",
"VOW3.DE","2025-05-21","98.1","98.4","96.64","97.68","812651","-0.42","-0.42813","97.705",
"VOW3.DE","2025-05-20","97.7","98.7","96.84","98.16","859858","0.46","0.47083","97.85",
"VOW3.DE","2025-05-19","97","98.62","96.8","97.5","1444026","0.5","0.51546","97.48",
"VOW3.DE","2025-05-16","104","104.6","102.15","102.85","1518948","-1.15","-1.11","103.4",
"VOW3.DE","2025-05-15","103.15","104.1","102.9","103.8","798333","0.65","0.63015","103.4875",
"VOW3.DE","2025-05-14","105.05","105.3","102.9","103.15","989581","-1.9","-1.81","104.1",
"VOW3.DE","2025-05-13","102.65","104.95","102.2","104.95","1317113","2.3","2.24","103.6875",
"VOW3.DE","2025-05-12","101.4","103.9","100.65","101.15","1591066","-0.25","-0.24655","101.775",
"VOW3.DE","2025-05-09","99.88","100.6","98.78","99.82","1424996","-0.06","-0.06007209","99.77",
"VOW3.DE","2025-05-08","96.7","99.1","96.1","99.1","1254097","2.4","2.48","97.75",
"VOW3.DE","2025-05-07","96.5","97.56","95.48","95.62","820134","-0.88","-0.91192","96.29",
"VOW3.DE","2025-05-06","97.14","97.42","94.24","96.02","1038289","-1.12","-1.15","96.205",
"VOW3.DE","2025-05-05","96.76","97.2","95.54","96.66","519192","-0.1","-0.10335","96.54",
"VOW3.DE","2025-05-02","97.34","98.48","95.52","96.52","1005590","-0.82","-0.84241","96.965",
"VOW3.DE","2025-04-30","96","99.18","95.44","95.44","1495488","-0.56","-0.58333","96.515",
"VOW3.DE","2025-04-29","97.98","98.94","97.22","97.82","923314","-0.16","-0.1633","97.99",
"VOW3.DE","2025-04-28","98.52","99.56","98.38","98.42","909796","-0.1","-0.1015","98.72",
"VOW3.DE","2025-04-25","97.98","98.2","96.84","97.76","1737284","-0.22","-0.22454","97.695",
"VOW3.DE","2025-04-24","94.8","96.5","94.62","96.5","771731","1.7","1.79","95.605",
"VOW3.DE","2025-04-23","93.52","95.9","93.38","95.04","1141557","1.52","1.63","94.46",
"VOW3.DE","2025-04-22","90.86","92.56","90.2","92.4","1028959","1.54","1.69","91.505",
"VOW3.DE","2025-04-17","88.38","89.72","87.96","89.54","791952","1.16","1.31","88.9",
"VOW3.DE","2025-04-16","88.48","89.04","87.12","88.84","671522","0.36","0.40687","88.37",
"VOW3.DE","2025-04-15","89.72","90.9","88.54","89.3","976237","-0.42","-0.46812","89.615",
"VOW3.DE","2025-04-14","87.32","87.86","86.38","87.36","723065","0.04","0.04580852","87.23",
"VOW3.DE","2025-04-11","86.5","86.5","83.5","85.36","1309181","-1.14","-1.32","85.465",
"VOW3.DE","2025-04-10","89.92","91.9","85.22","85.22","1991298","-4.7","-5.23","88.065",
"VOW3.DE","2025-04-09","83.9","86.6","83.16","83.84","2030018","-0.06","-0.07151371","84.375",
"VOW3.DE","2025-04-08","87","87.74","84.74","85.92","1890603","-1.08","-1.24","86.35",
"VOW3.DE","2025-04-07","83.1","91.2","81.68","85.48","4298186","2.38","2.86","85.365",
"VOW3.DE","2025-04-04","89.3","89.84","84.48","87.5","2301167","-1.8","-2.02","87.78",
"VOW3.DE","2025-04-03","91.3","94","90","90","2093269","-1.3","-1.42","91.325",
"VOW3.DE","2025-04-02","93.44","94.32","92.74","94.16","684253","0.72","0.77055","93.665",
"VOW3.DE","2025-04-01","94.94","95.48","93.66","94.56","858075","-0.38","-0.40025","94.66",
"VOW3.DE","2025-03-31","95.94","95.94","92.7","93.56","1780110","-2.38","-2.48","94.535",
"VOW3.DE","2025-03-28","98.56","100.1","96.62","96.96","1533715","-1.6","-1.62","98.06",
"VOW3.DE","2025-03-27","97.5","99.9","96.5","99.3","1581338","1.8","1.85","98.3",
"VOW3.DE","2025-03-26","103.35","103.35","100.8","100.8","600192","-2.55","-2.47","102.075",
"VOW3.DE","2025-03-25","102.45","102.95","101.5","102.4","641737","-0.05","-0.04880429","102.325",
"VOW3.DE","2025-03-24","103.05","103.45","101.35","101.4","1034542","-1.65","-1.6","102.3125",
"VOW3.DE","2025-03-21","102.7","103.5","100.05","101.45","3391711","-1.25","-1.22","101.925",
"VOW3.DE","2025-03-20","107.5","107.9","102.45","102.8","1649514","-4.7","-4.37","105.1625",
"VOW3.DE","2025-03-19","108.9","109.45","106.8","107.25","1336905","-1.65","-1.52","108.1",
"VOW3.DE","2025-03-18","109","110.55","108.65","109.35","976900","0.35","0.3211","109.3875",
"VOW3.DE","2025-03-17","108.25","110.3","108.05","108.3","1050403","0.05","0.04618938","108.725",
"VOW3.DE","2025-03-14","107.15","109.9","105.8","107.65","1278874","0.5","0.46664","107.625",
"VOW3.DE","2025-03-13","108.55","109.65","105.8","107.7","1106109","-0.85","-0.78305","107.925",
"VOW3.DE","2025-03-12","109.6","110.1","106.85","109.95","1647414","0.35","0.31934","109.125",
"VOW3.DE","2025-03-11","110","114.2","106.5","108.95","3133086","-1.05","-0.95455","109.9125",
"VOW3.DE","2025-03-10","109.9","111","107.6","110.15","2003526","0.25","0.22748","109.6625",
"VOW3.DE","2025-03-07","108.95","109.8","107.45","108.15","1209123","-0.8","-0.73428","108.5875",
"VOW3.DE","2025-03-06","107.5","110.05","106.85","109.7","2386775","2.2","2.05","108.525",
"VOW3.DE","2025-03-05","104.4","108.35","103.75","105.55","2881119","1.15","1.1","105.5125",
"VOW3.DE","2025-03-04","104.4","104.65","101","102.1","1799683","-2.3","-2.2","103.0375",
"VOW3.DE","2025-03-03","103.65","110","103.6","106.5","2262374","2.85","2.75","105.9375",
"VOW3.DE","2025-02-28","103.05","106.2","103","104.1","1647470","1.05","1.02","104.0875",
"VOW3.DE","2025-02-27","102.95","105.05","102.45","104.3","1213354","1.35","1.31","103.6875",
"VOW3.DE","2025-02-26","105","106.3","104.35","105.95","1268395","0.95","0.90476","105.4",
"VOW3.DE","2025-02-25","100.75","106","100.3","104.95","3519998","4.2","4.17","103",
"VOW3.DE","2025-02-24","100.45","101.9","99.46","101.45","1322898","1","0.99552","100.815",
"VOW3.DE","2025-02-21","97.58","98.92","97.54","98.9","908132","1.32","1.35","98.235",
"VOW3.DE","2025-02-20","96.62","98.54","96.2","97.32","664033","0.7","0.72449","97.17",
"VOW3.DE","2025-02-19","100.15","100.35","97.36","97.46","1124343","-2.69","-2.69","98.83",
"VOW3.DE","2025-02-18","100.75","101.05","99.54","100.3","609131","-0.45","-0.44665","100.41",
"VOW3.DE","2025-02-17","100.35","100.75","99.86","100.4","518441","0.05","0.04982561","100.34",
"VOW3.DE","2025-02-14","98.76","101.65","98.54","100.2","1338890","1.44","1.46","99.7875",
"VOW3.DE","2025-02-13","95.46","100.85","94.76","99.78","2809711","4.32","4.53","97.7125",
"VOW3.DE","2025-02-12","93.44","94.6","93.2","93.74","886419","0.3","0.32106","93.745",
"VOW3.DE","2025-02-11","94.14","94.32","92.38","93.34","1251586","-0.8","-0.8498","93.545",
"VOW3.DE","2025-02-10","93.52","95.42","93.52","94.32","712715","0.8","0.85543","94.195",
"VOW3.DE","2025-02-07","96.06","96.96","93.42","93.72","1473423","-2.34","-2.44","95.04",
"VOW3.DE","2025-02-06","93.24","96.62","92.74","95.9","1599212","2.66","2.85","94.625",
"VOW3.DE","2025-02-05","94.46","95.02","91.86","93.38","1203209","-1.08","-1.14","93.68",
"VOW3.DE","2025-02-04","94.54","95.54","93.54","94.66","794061","0.12","0.12693","94.57",
"VOW3.DE","2025-02-03","93.36","94.7","91.62","94.6","2702523","1.24","1.33","93.57",
"VOW3.DE","2025-01-31","97.82","98.72","97.48","98.64","905402","0.82","0.83827","98.165",
"VOW3.DE","2025-01-30","97.5","98.28","97.06","97.82","690728","0.32","0.32821","97.665",
"VOW3.DE","2025-01-29","98.24","98.72","97.24","97.52","642676","-0.72","-0.7329","97.93",
"VOW3.DE","2025-01-28","98.44","98.88","97.1","97.82","929093","-0.62","-0.62983","98.06",
"VOW3.DE","2025-01-27","96.94","99.12","96.66","97.98","1171873","1.04","1.07","97.675",
"VOW3.DE","2025-01-24","96.12","98.3","95.76","96.64","1122433","0.52","0.54099","96.705",
"VOW3.DE","2025-01-23","94.94","95.96","94.5","95.4","1446398","0.46","0.48452","95.2",
"VOW3.DE","2025-01-22","94","94.68","93.24","93.84","762936","-0.16","-0.17021","93.94",
"VOW3.DE","2025-01-21","93.5","94.32","93.38","94.26","712199","0.76","0.81283","93.865",
"VOW3.DE","2025-01-20","93.6","95.52","91.94","95","1223406","1.4","1.5","94.015",
